wheel,timestamp,state
left,1588320643.31,0.275458578639
right,1588320643.31,0.287166574239
left,1588320643.32,0.279377860003
right,1588320643.32,0.290991558234
left,1588320643.33,0.283219669414
right,1588320643.33,0.29473895498
left,1588320643.34,0.286984312168
right,1588320643.34,0.298409368123
right,1588320643.35,0.302004664361
left,1588320643.35,0.290673185882
right,1588320643.36,0.305525812851
left,1588320643.36,0.294288549897
right,1588320643.37,0.308974759235
left,1588320643.37,0.297830780092
right,1588320643.38,0.312353131434
left,1588320643.38,0.301302895199
right,1588320643.39,0.315661872315
left,1588320643.39,0.304705155023
right,1588320643.4,0.318901892109
left,1588320643.4,0.308039268478
right,1588320643.41,0.322075036729
left,1588320643.41,0.311306176734
right,1588320643.42,0.325181932549
left,1588320643.42,0.314507059568
right,1588320643.43,0.328224707973
left,1588320643.43,0.317643536754
left,1588320643.44,0.320716764291
right,1588320643.44,0.331204111509
left,1588320643.45,0.323727644673
right,1588320643.45,0.334121622033
left,1588320643.46,0.326679768109
right,1588320643.46,0.336978486635
left,1588320643.47,0.329566598507
right,1588320643.47,0.339769291261
left,1588320643.48,0.332394999155
right,1588320643.48,0.342501764275
left,1588320643.49,0.335165939849
right,1588320643.49,0.345177042659
right,1588320643.5,0.347796358022
left,1588320643.5,0.337880513749
right,1588320643.51,0.350360452071
left,1588320643.51,0.340539587564
left,1588320643.52,0.343144734395
right,1588320643.52,0.352872397423
right,1588320643.53,0.355329477307
left,1588320643.53,0.345694658234
right,1588320643.54,0.35773473355
left,1588320643.54,0.348192276093
left,1588320643.55,0.350638162827
right,1588320643.55,0.360089223047
right,1588320643.56,0.362394043482
 left,1588320643.56,0.35303409265
left,1588320643.57,0.355380542485
right,1588320643.57,0.364649744886
left,1588320643.58,0.357678439689
right,1588320643.58,0.36685728832
left,1588320643.59,0.359928701758
 right,1588320643.59,0.36901761016
right,1588320643.6,0.371131048337
left,1588320643.6,0.362132404723
right,1588320643.61,0.373197655393
 left,1588320643.61,0.364288780905
right,1588320643.62,0.375217532901
left,1588320643.62,0.366400271541
right,1588320643.63,0.377195665205
left,1588320643.63,0.368468414077
right,1588320643.64,0.379132299247
left,1588320643.64,0.370494430858
right,1588320643.65,0.381026100276
left,1588320643.65,0.372476856184
right,1588320643.66,0.382879202712
left,1588320643.66,0.374417132091
right,1588320643.67,0.384692151401
left,1588320643.67,0.376316069339
right,1588320643.68,0.386465996424
left,1588320643.68,0.378175877503
right,1588320643.69,0.388201140684
left,1588320643.69,0.379996515879
right,1588320643.7,0.38989835938
left,1588320643.7,0.381778731981
right,1588320643.71,0.391557319347
left,1588320643.71,0.383522517215
right,1588320643.72,0.393178365005
left,1588320643.72,0.385229213575
right,1588320643.73,0.394764312194
left,1588320643.73,0.38690111352
right,1588320643.74,0.396316860566
left,1588320643.74,0.388538157696
right,1588320643.75,0.397834144538
 left,1588320643.75,0.390138787946
left,1588320643.76,0.391705408166
right,1588320643.76,0.399318427942
left,1588320643.77,0.393238542068
right,1588320643.77,0.400770149033
right,1588320643.78,0.402189678505
left,1588320643.78,0.394739526946
right,1588320643.79,0.403576571726
left,1588320643.79,0.396208817969
left,1588320643.8,0.397644797308
