from, to, ms
0.927093139036, -0.900103351953, 1.73199
-0.916001887316, 0.900845767029, 1.741897
0.923441698948, -0.900533382347, 1.732068
-0.916695253226, 0.900719547943, 1.742951
0.923782082903, -0.90004689488, 1.731968
-0.91669512646, 0.900901907638, 1.744313
0.922315162591, -0.900662575562, 1.732063
-0.916743847372, 0.800234336403, 1.671853
0.825575648367, -0.800220396636, 1.591906
-0.818759611072, 0.800860965206, 1.631886
0.828908119936, -0.800247208524, 1.621912
-0.818664469863, 0.800684733009, 1.631742
0.829346832038, -0.800238360746, 1.622231
-0.81869852371, 0.80051871628, 1.631461
0.828809867484, -0.800321928444, 1.621389
-0.819384565648, 0.800613887213, 1.632206
0.82927563659, -0.700001183578, 1.502749
-0.721715739631, 0.700274253883, 1.661758
0.731437431549, -0.700598618245, 2.222075
-0.714229523856, 0.700774873135, 1.661435
0.731366005504, -0.700495048752, 1.56152
-0.72232482565, 0.700402067985, 1.661095
0.731325956339, -0.700525022156, 1.581493
-0.722226579539, 0.700255497847, 1.660973
0.73124626621, -0.700721277945, 1.593179
-0.721444910451, 0.600312031289, 1.611803
0.634281181401, -0.600868935369, 1.502357
-0.624134399865, 0.600135149709, 1.49127
0.631530901405, -0.600749524776, 2.232283
-0.61756938881, 0.600148928389, 1.36129
0.635723110392, -0.600452932191, 1.481199
-0.625247126692, 0.600585558427, 1.491224
0.627447955699, -0.600415974935, 1.410752
-0.625083093076, 0.60115226365, 1.581231
0.634387389904, -0.50068057318, 1.501556
-0.527442651035, 0.50032507728, 1.27109
0.536130162131, -0.500124765801, 1.361543
-0.528006859386, 0.500933126772, 1.280742
0.538804306193, -0.500161935126, 1.271431
-0.52939935485, 0.501135468418, 1.29135
0.536050702564, -0.500121633946, 1.381864
-0.529038792226, 0.500828740012, 1.281482
0.53875464529, -0.500835115515, 1.281451
-0.52833444374, 0.401495302956, 1.210522
0.443571761156, -0.400031568874, 1.931875
-0.428733168204, 0.400820929368, 1.181339
-0.204317234946, 0.401089381631, 1.131367
-0.196457495657, 0.401078421487, 1.121284
-0.2040823086, 0.400582056157, 1.111039
0.0222880708871, 0.100291717234, 0.310668
-0.0373349792232, 0.000537312557435, 0.130426
0.00471640985802, -0.000570727670371, 0.060395
-0.00662089603296, 0.000645475633983, 0.070266
0.0204973930352, -0.000108078949727, 0.159868
0.00382504567893, 0.00327337873211, 0.010308
-0.00399550905302, -0.00269159473828, 0.009997
0.0142900960489, 0.0147033314232, 0.010082
0.00230598099713, -7.88189994312e-05, 0.250059
0.01870599701, 0.0190024642734, 0.009975
0.0269802512623, -0.900701290807, 1.731923
-0.915743250048, 0.900277400263, 1.73209
0.919538616034, -0.900532595931, 1.741853
-0.916765479321, 0.900610044213, 1.731725
0.919698970102, -0.900691753575, 1.741949
-0.916137159892, 0.900473631059, 1.731807
0.924252092745, -0.90033647475, 1.75185
-0.915080082186, 0.900401111346, 1.731551
0.923968060388, -0.900226652015, 1.721794
-0.916848352477, 0.800360688315, 1.661567
