from,to,s
0.0250610387264, 0.900099008929, 1.591799
0.918840479607, -0.900210238652, 1.731952
-0.912961525794, 0.90018035316, 1.73157
0.91857831497, -0.900773537904, 1.731616
-0.913812790187, 0.900128520782, 1.731838
0.915891388262, -0.900682229732, 1.721472
-0.913943357608, 0.90069592189, 1.742183
0.914649436376, -0.900801531589, 1.742105
-0.914012177582, 0.800599371925, 1.652025
0.822151636923, -0.800514877021, 1.620852
-0.815562425152, 0.800478426046, 1.621865
0.825840883169, -0.800833591856, 1.631344
-0.816983613037, 0.800371028289, 1.631593
0.825828124134, -0.800859503438, 1.631773
-0.817016090837, 0.800311538727, 1.632189
0.829036884768, -0.800772222735, 1.631739
-0.817044195324, 0.800429575753, 1.631837
0.82318934526, -0.700364441585, 1.501806
-0.720206189472, 0.700321181076, 1.53157
0.731010814664, -0.700477606141, 2.222551
-0.720575294248, 0.700696530024, 1.661402
0.730765389954, -0.700580041199, 2.22319
-0.720655705252, 0.700685848958, 1.661924
0.730639831889, -0.700646282317, 2.2221
-0.718503973085, 0.70045678164, 1.662152
0.729910348674, -0.700147628178, 1.581874
-0.718949409012, 0.600807177106, 1.451958
0.633285095282, -0.600313582276, 1.351295
-0.624701489945, 0.601025593964, 1.471692
0.629939714018, -0.600606019763, 1.541709
-0.625127176002, 0.600769908035, 1.571727
0.63307038588, -0.600005011731, 1.372903
-0.623193411107, 0.60097399733, 1.572208
0.631481774632, -0.60072906537, 1.381529
-0.623094945422, 0.600101411704, 1.421366
0.632311511291, -0.500173712537, 1.291913
-0.527137916261, 0.500597291695, 1.22115
0.539038318483, -0.50014246416, 1.221057
-0.527820640375, 0.500042551306, 1.491389
0.536290877796, -0.501440349434, 1.231002
-0.528044209257, 0.500973420736, 1.451411
0.534574131677, -0.500310376694, 1.411034
-0.527898247594, 0.50003595599, 1.271464
0.534566377471, -0.500164521754, 1.521465
-0.529003113287, 0.400882559955, 1.491949
-0.202114392086, 0.400557479088, 1.131519
-0.0383720475677, -0.0393657496781, 0.00996
-0.0400225547934, 9.26273999982e-05, 1.01068
-0.0186524186672, 0.000360997004343, 0.160185
0.0289637178044, -7.61870097872e-05, 1.812168
0.0297510784031, -0.000217485305983, 0.270557
0.00364677695511, -0.900158550445, 1.691567
-0.91330000106, 0.900389635105, 1.732066
0.916485532455, -0.900512209978, 1.72213
-0.911469095434, 0.900459834795, 1.731889
0.919039297283, -0.900234279046, 1.741792
-0.914435265746, 0.900331267826, 1.73156
0.919017718149, -0.900600829771, 1.742193
-0.914478575373, 0.900927952913, 1.74204
0.918985253722, -0.900704699203, 1.741488
-0.912265548995, 0.80015099001, 1.661567
0.822306901892, -0.80074499925, 1.641622
-0.819893050017, 0.800856410965, 1.611968
0.824412538597, -0.8007181958, 1.642588
-0.818072535992, 0.800943278724, 1.611622
0.826962893593, -0.800650424943, 1.641487
-0.817709896694, 0.800971843828, 1.611393
0.826610841366, -0.800021177424, 1.641728
-0.813925103799, 0.800529612399, 1.631372
0.823710583784, -0.700250101903, 1.471831
-0.721302044045, 0.700254233566, 1.591509
0.726938996241, -0.700181661441, 1.541314
-0.721256720824, 0.700422697585, 1.591536
0.724759240303, -0.700533102744, 1.511441
-0.718672951848, 0.700387139224, 1.574883
0.728754703351, -0.70085909976, 1.551584
-0.721259291041, 0.700380220644, 1.591915
0.719335202676, -0.700047139569, 1.572016
-0.719704077069, 0.600502880248, 1.521557
0.628942239315, -0.600934412957, 1.471892
-0.623474607953, 0.600728664174, 1.551871
0.636224444991, -0.600395659176, 1.481757
