throttle,steering,rpm
1.0,0.1875,4184.96695093
1.0,0.125,5082.10162909
0.800000011921,0.375,4180.38003404
1.0,0.125,4256.48187183
0.699999988079,0.1875,4100.72478052
1.0,0.25,6473.30561694
0.800000011921,0.3125,6103.45503169
1.0,0.25,4178.31220879
1.0,0.125,2733.0957148
1.0,0.125,6413.00242649
1.0,0.0625,4781.47206997
0.699999988079,0.5,4689.49045609
0.20000000298,0.125,4668.98605238
0.800000011921,0.0,4794.37820328
1.0,0.125,6571.04834244
1.0,0.25,4829.54174118
0.699999988079,0.6875,6933.50590099
0.899999976158,0.8125,5955.23158149
1.0,0.1875,4934.12367596
0.5,0.0625,4893.15726536
1.38777878078e-16,-1.0,6835.31761964
0.300000011921,-0.0625,4793.77838267
1.0,0.875,6914.00055469
1.0,1.0,5706.86978273
1.0,0.8125,5338.62045812
1.0,0.625,7331.3058681
0.10000000149,0.5625,6885.00668889
1.0,0.375,7344.51265623
0.300000011921,0.3125,3894.35460989
0.40000000596,0.4375,6933.3175667
1.0,0.375,4860.45846791
1.0,0.3125,5851.78919584
1.0,0.1875,5120.21099883
1.0,0.0625,5272.67239503
1.0,0.4375,5210.17572126
1.0,0.4375,5253.07442233
1.0,0.4375,7489.57760554
1.0,0.4375,5466.04036362
1.0,0.5625,7278.4160228
1.0,0.5,7258.12597365
1.38777878078e-16,0.4375,7332.56397562
1.38777878078e-16,0.4375,7001.88054229
0.699999988079,0.25,5526.68698395
1.0,0.1875,5498.82402413
1.38777878078e-16,0.25,6964.03317101
0.800000011921,0.25,5499.37169928
1.0,0.125,5756.70007432
1.0,0.25,5555.16796619
0.300000011921,0.25,7643.05584705
1.0,0.1875,5566.39923516
0.5,0.1875,5670.0561771
0.20000000298,0.125,5619.6126699
1.0,0.125,5699.53464971
1.0,0.125,5827.81212524
1.0,0.125,5772.08049961
1.0,0.125,5875.89231592
1.0,0.1875,5886.61814684
1.0,0.1875,8000.33044524
1.0,0.1875,6190.2917958
1.0,0.1875,6062.05684808
1.0,0.125,6152.14792418
1.0,0.0625,6372.16198994
1.38777878078e-16,0.0625,7753.47476549
1.0,0.125,6294.96063251
1.0,0.125,6345.52739829
1.0,0.125,6298.68877198
1.0,0.125,6510.01249811
1.0,0.125,6485.88802679
1.38777878078e-16,0.125,6288.45113854
1.0,0.125,6349.99278175
0.20000000298,0.1875,6549.62505327
1.38777878078e-16,0.125,6248.07820645
1.0,0.0,7808.3910768
1.0,0.0,6492.06236184
1.0,0.0625,6382.41674303
1.0,0.125,8365.56023906
1.0,0.0625,6803.58475957
0.899999976158,0.1875,6768.28026993
1.0,0.0,8924.86541643
1.0,0.0,6803.68272338
1.0,-0.0625,6824.94194053
1.0,0.0,6899.55742118
0.899999976158,-0.0625,6941.43490977
1.0,0.0,6997.89424574
1.0,-0.0625,7004.83240959
1.0,0.0,7076.0893349
0.600000023842,-0.0625,8357.30380613
1.0,0.0,7190.39799452
1.0,0.0,7272.37440404
1.38777878078e-16,0.0,7211.54013036
1.0,0.0,7267.33907267
1.0,0.0,7320.51410056
0.899999976158,0.0,7368.04263969
1.0,0.0,7412.53319116
1.0,0.0,7472.29841966
0.899999976158,0.0625,7599.98882895
1.0,0.0625,7617.67327086
1.0,0.0625,7729.48850502
0.699999988079,0.0625,7747.27757111
0.800000011921,0.0,7717.26518562
1.0,0.0,7806.91065525
1.0,0.0,9608.69502334
1.38777878078e-16,0.25,7857.85184873
1.38777878078e-16,0.25,7887.26537259
1.0,0.0625,7871.15536236
1.0,0.0,7852.94788764
1.0,0.0,7908.38026944
1.0,0.0,7957.70964481
1.0,0.0,8014.90303245
1.0,0.0,8065.63041824
1.0,0.0,8136.1793109
0.899999976158,0.0625,8219.21882154
1.0,0.0,8229.61463228
1.0,0.0,8278.85152961
0.800000011921,0.1875,8445.24623673
1.0,0.1875,8412.75493299
1.0,0.1875,8537.58828424
1.0,0.1875,8640.03822392
1.0,0.125,8585.2270245
1.0,0.1875,8838.54406401
1.0,0.1875,9978.49350806
0.699999988079,0.1875,8785.74736239
1.0,0.0625,8689.64556789
0.40000000596,0.0,8741.83103872
0.699999988079,0.0,8778.23303579
1.0,0.0,8830.27794946
1.0,0.0,8925.68729568
1.0,0.0,8958.76200324
0.800000011921,0.0625,9037.05296048
0.5,0.0625,8878.76087122
1.0,0.0625,9047.47558015
1.0,0.0,9049.29003334
1.0,0.0,9099.92198099
1.0,0.0,9151.64819048
1.0,0.0,9206.25888076
1.0,0.0,9263.22133218
1.0,0.0,9321.66629738
0.5,0.0,9261.84110861
0.40000000596,0.0,9221.69402789
0.800000011921,0.0,9260.28092861
1.0,0.0,9316.94156206
1.0,0.0,9369.36917403
1.0,0.0,9429.37071331
1.0,0.0,9479.77713392
1.0,0.0,9531.45198622
0.800000011921,0.0,9582.53365621
1.0,0.0,9634.20736997
1.0,0.0,9701.07552417
0.899999976158,0.0625,9823.0388788
1.0,0.0625,9835.32470415
0.10000000149,0.0625,9804.59326246
1.0,0.0,9803.65386795
0.300000011921,0.0,9758.91687774
1.0,0.0,9811.05372029
0.699999988079,0.0,9752.11000307
1.0,0.0625,9878.72129365
0.40000000596,0.125,9904.67508912
1.0,0.0625,9750.67094178
0.10000000149,0.0,11678.27361
0.899999976158,0.0,9795.13955672
1.0,0.0,9878.39419565
1.0,0.0625,9967.90055028
0.899999976158,0.0625,10056.4250423
0.899999976158,0.875,12103.0220858
0.800000011921,0.8125,9860.03928729
1.38777878078e-16,0.75,10112.241267
1.38777878078e-16,0.9375,10993.5857866
1.38777878078e-16,0.8125,8324.34020359
1.0,0.625,10079.3418486
0.20000000298,0.5,9701.16198745
0.20000000298,0.625,9892.28822122
1.38777878078e-16,0.75,10523.3432129
1.0,0.75,9727.17714653
1.38777878078e-16,0.75,11449.5647833
1.0,0.75,9790.47048399
1.38777878078e-16,0.6875,9415.01477485
1.0,0.6875,11351.7668088
1.38777878078e-16,0.6875,9598.92025181
1.38777878078e-16,0.75,11141.5853892
1.0,0.75,9761.86637276
1.0,0.75,9630.41823031
1.38777878078e-16,0.75,9685.21249434
1.0,0.75,9578.66159249
1.38777878078e-16,0.6875,9634.17818718
1.0,0.6875,9518.96616729
0.20000000298,0.625,10904.0652382
1.0,0.625,9778.27834651
1.0,0.4375,9764.81613301
0.20000000298,0.5625,10027.3304178
1.0,0.375,11206.5645354
0.699999988079,0.5625,11714.758177
1.0,0.3125,9856.98877377
1.0,0.4375,9783.66657782
1.0,0.25,11627.8316935
1.0,0.3125,9970.83380017
0.600000023842,0.375,9939.14773823
1.0,0.1875,10006.7393802
1.0,0.3125,9983.36188612
1.0,0.0,10160.5932898
0.899999976158,-0.25,11490.2689976
1.38777878078e-16,-0.3125,11692.7850603
1.0,0.25,10288.134984
1.0,0.375,11869.6205869
1.0,0.375,10263.5026154
0.300000011921,0.1875,10238.1160341
1.38777878078e-16,0.1875,10374.0249068
1.0,0.0625,10295.3797544
0.899999976158,0.125,11572.8766648
1.0,0.125,10312.4837403
1.38777878078e-16,0.1875,12406.6444385
1.38777878078e-16,-0.125,12254.7618046
1.0,0.0,11684.8593232
1.0,0.0,12484.5185883
1.38777878078e-16,-0.0625,12144.5700045
1.0,0.0625,10401.1594632
1.38777878078e-16,0.1875,10344.683324
1.0,0.125,12500.1840633
1.0,-0.0625,10484.6656325
0.699999988079,-0.125,12065.5347952
1.0,-0.125,10864.933065
1.38777878078e-16,0.3125,11290.1954091
1.38777878078e-16,0.4375,10283.3451919
0.20000000298,0.375,10445.3870651
1.0,0.3125,10431.9516057
0.40000000596,0.3125,10179.499667
1.0,-0.0625,11881.9196623
1.0,-0.1875,12592.7344122
0.800000011921,0.0,10488.1571524
1.0,0.0,10598.7003486
1.0,0.1875,10651.0526381
1.38777878078e-16,0.3125,10672.8439231
1.0,0.0,10514.2417532
1.0,-0.0625,11309.2425183
1.0,-0.0625,10672.848645
1.0,-0.0625,10771.378874
1.38777878078e-16,-0.125,12611.7089845
1.0,0.0,10757.7492868
1.0,0.0625,10776.0730646
1.0,0.125,10927.2019707
1.0,0.125,12501.122073
0.800000011921,0.125,11549.6867823
1.38777878078e-16,0.125,12672.9039058
1.38777878078e-16,-0.125,10829.6463745
0.899999976158,-0.125,10903.1669134
1.0,0.0,10977.2164477
1.0,0.0,11054.7233912
1.0,0.0625,11184.6736197
0.300000011921,0.0625,11571.6157536
1.0,0.0,11579.7848669
0.5,-0.1875,11025.6189095
1.0,-0.0625,11026.4387927
1.0,-0.0625,11123.9727928
1.0,-0.0625,11196.1950165
