throttle,steering,rpm
0,0,0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.000928605983475
0,0,0.000991678033044
0,0,0.00108627650596
0,0,0.00109109124823
0,0,0.00109519297778
0,0,0.00109813820528
0,0,0.00110318150179
0,0,0.00110718758666
0,0,0.00111116772955
0,0,0.00111512292289
0,0,0.00111817013463
0,0,0.00112295458231
0,0,0.00112683189675
0,0,0.00113068275007
0,0,0.00113355405233
0,0,0.00113830657042
0,0,0.00114207918728
0,0,0.0011458251046
0,0,0.00114963866638
0,0,0.0011533323864
0,0,0.0011569090968
0,0,0.0011605514492
0,0,0.00116416831881
0,0,0.00116775936627
1.0,-6.34703223312e-09,51.4173894284
1.0,-8.45796854776e-09,105.557504717
1.0,3.26153383412e-07,159.7007584
1.0,3.94371710399e-07,213.350477192
1.0,9.35544733238e-07,266.909418416
1.0,1.62106573498e-06,321.052306294
1.0,2.51708638643e-06,376.412014868
1.0,3.69611598217e-06,429.921574261
1.0,5.66459857509e-06,483.480316703
1.0,7.63745720178e-06,537.622812138
1.0,9.96799553832e-06,592.349561204
1.0,1.26711174744e-05,647.405965495
1.0,1.57618633239e-05,688.442872901
1.0,1.92555817193e-05,754.182435174
1.0,1.92555817193e-05,808.134242198
1.0,2.31479625654e-05,-1187.30526766
1.0,2.74227440968e-05,3122.19163499
1.0,3.6636756704e-05,-213.909501991
1.0,0.000444763951236,1113.45170079
1.0,0.000223165276111,1223.1925638
1.0,0.000173086125869,2870.06355229
1.0,7.20519383322e-05,2659.99857897
1.0,0.010161603801,2711.18439031
1.0,0.0109380381182,1314.31471987
1.0,0.00984579324722,1346.33640389
1.0,0.00881069991738,1411.05203144
1.0,0.00841865688562,1453.88603928
1.0,0.00777271715924,3921.15292106
1.0,0.00747331278399,1856.97165546
1.0,0.00918596982956,1590.71771731
1.0,0.00740287266672,1684.27714306
1.0,0.00797632988542,1713.16323433
1.0,0.00742563046515,1784.43894337
1.0,0.00712604448199,1836.01081576
1.0,0.00893399957567,1907.77421687
1.0,0.00874280370772,4151.70270514
1.0,0.00855767354369,2001.1861379
1.0,0.0138764344156,2064.4375237
1.0,0.00804579723626,2119.04541213
1.0,0.0120015516877,2149.11062823
1.0,0.0113515211269,2214.16876624
1.0,0.0108518218622,2550.83284025
1.0,0.0100038880482,2439.66614535
1.0,0.0178331434727,2380.44888634
1.0,0.0178331434727,2416.43146039
1.0,0.0166709739715,2474.25830295
1.0,0.0153497727588,2538.50978382
1.0,0.0130122285336,2814.59634163
1.0,-0.0106560112908,2638.86738759
1.0,-0.0120524419472,2758.68002597
1.0,-0.0117319598794,2742.4700304
1.0,-0.00877725146711,2798.89389639
1.0,-0.00567913614213,4898.7186752
1.0,-0.00265060155652,2893.24110181
1.0,0.0130094317719,2979.95541166
1.0,0.00945123564452,3016.21700924
1.0,0.00813783239573,3113.59926108
1.0,0.00723317079246,3126.37280698
1.0,0.0157818924636,3203.55691269
1.0,0.0155225647613,3223.78552006
1.0,0.0146051719785,3299.82376663
1.0,0.0146051719785,5166.29970769
1.0,0.012634281069,3369.45900261
1.0,0.027749337256,3504.6577149
1.0,0.0273608583957,3521.63537495
1.0,0.0274330675602,3573.32454095
1.0,0.0231947023422,3626.75327597
1.0,0.0183201376349,3661.84511054
1.0,0.0133833102882,3729.06213697
1.0,0.0443178601563,3789.31850489
1.0,0.0444608330727,3842.11187781
1.0,0.0407091677189,3914.57828927
1.0,0.133244588971,5793.57872523
1.0,0.133583694696,5695.74571365
1.0,0.309466898441,4158.34567064
1.0,0.269442677498,3944.08390175
1.0,0.226710274816,3077.13694818
1.0,0.220682293177,4288.28712602
1.0,0.219359815121,5403.90868478
1.0,0.271639704704,4065.95056759
1.0,0.271639704704,4514.98882399
1.0,0.275540292263,5296.04723713
1.0,0.323489069939,6112.84799623
1.0,0.367466539145,4497.01915895
1.0,0.456223726273,4437.55199244
1.0,0.352752536535,3196.88664648
1.0,0.329320549965,4893.42568607
1.0,0.292363643646,5126.97764643
1.0,0.377797782421,6979.50696924
1.0,0.321415781975,6419.0546326
1.0,0.412049174309,6808.15764187
1.0,0.424903959036,4671.00772683
1.0,0.498909652233,5499.84633385
1.0,0.276189565659,7342.04559982
1.0,0.35772639513,5682.07689257
1.0,0.468555092812,5680.10660114
1.0,0.301381915808,7431.42733856
1.0,0.389359682798,5299.54387086
0.405726402998,0.46115309,7331.72313194
1.0,0.318044513464,7350.09138798
0.405726402998,0.350065797567,6715.17595267
0.405726402998,0.283271163702,6723.20338674
1.0,0.210333421826,5585.07757303
1.0,0.122494637966,3927.19457335
1.0,-0.0605864971876,6754.73029563
0.425788342953,0.100925013423,5551.04011296
1.0,0.0487791374326,7841.60071747
1.0,-0.0900008231401,6030.01285046
0.432214319706,0.125506266952,7955.26178451
1.0,-0.0717908665538,5931.84666196
1.0,0.0239572208375,5994.46764931
1.0,-0.000556049693841,6066.47530274
1.0,-0.0215429682285,8338.70285518
1.0,0.063033901155,6161.59124567
1.0,0.289102673531,6108.63347115
1.0,0.164030537009,6288.21177702
1.0,0.167504310608,6256.20720496
1.0,0.158778354526,6082.00629562
1.0,0.256942927837,6374.93422273
1.0,0.262143135071,7749.08844919
1.0,0.349039703608,7028.46504139
1.0,0.448853760958,6154.75592906
1.0,0.430591374636,6859.65269937
1.0,0.356656461954,6290.12906287
1.0,0.108643718064,6528.94960297
1.0,0.0590097233653,6799.18183818
1.0,0.0129962069914,6752.52567463
1.0,0.0414029993117,7012.20077028
1.0,0.0039359331131,6980.13467171
1.0,0.00204973598011,7051.19016712
1.0,-0.0285436902195,7121.14273419
1.0,-0.0354644618928,7154.75611012
1.0,-0.0055655608885,7224.01276698
1.0,-0.00125528592616,7273.89974893
