time,throttle_input,steering_angle_input,x,y,heading_angle,speed,slip_angle,yaw_rate,motor_rpm,steering_angle,estimated_longitudinal_slip
1587568137.08,0,0,0,0,0,0,0,0,0,0,0
1587568137.14,0,0,0,0,0,0,0,0,0,0,0
1587568137.15,0,0,0,0,0,0,0,0,0,0,0
1587568137.2,0,0,0,0,0,0,0,0,0,0,0
1587568137.24,0,0,0,0,0,0,0,0,0,0,0
1587568137.28,0,0,0,0,0,0,0,0,0,0,0
1587568137.32,0,0,0,0,0,0,0,0,0,0,0
1587568137.36,0,0,0,0,0,0,0,0,0,0,0
1587568137.4,0,0,0,0,0,0,0,0,0,0,0
1587568137.44,0,0,0,0,0,0,0,0,0,0,0
1587568137.94,0,0,0,0,0,0,0,0,0.0,0,0
1587568137.98,0,0,-1.56970605847e-07,-3.88817671393e-08,6.28936050814e-06,6.52695228392e-07,1.40974980485,-1.23122124142e-06,0.0,0,-1.0
1587568138.02,0.780476868153,0.0643497258425,-1.58524275928e-07,-3.87782037592e-08,6.2934826888e-06,6.74125627808e-07,1.45464537702,-1.4173035628e-06,0.0,0.026954750129,-1.0
1587568138.06,0.780476868153,0.0643497183919,-1.60983690378e-07,-3.8233163302e-08,6.29433780185e-06,6.76281650247e-07,1.48204739626,-1.44734209811e-06,0.0,0.0269547470081,-1.0
1587568138.1,0.780476868153,0.0643497183919,-1.64019003712e-07,-3.76167914595e-08,6.29466467839e-06,6.76061615783e-07,1.49686205954,-1.45216154906e-06,0.0,0.0269547470081,-1.0
1587568138.14,0.780476868153,0.0643497183919,-1.67304309961e-07,-3.69888342178e-08,6.29490540268e-06,6.7596437587e-07,1.49964484194,-1.45291169096e-06,0.0,0.0269547470081,-1.0
1587568138.18,0.780476868153,0.0643497183919,-1.68939458423e-07,-3.66739705271e-08,6.29501905852e-06,6.76094824109e-07,1.49656267552,-1.45298600276e-06,0.0,0.0269547470081,-1.0
1587568138.22,0.780476868153,0.0643497183919,-1.70515840114e-07,-3.63589336416e-08,6.29513131169e-06,6.76383005423e-07,1.49051558208,-1.45300590471e-06,0.000918295701114,0.0269547470081,-0.322983602787
1587568138.26,0.780476868153,0.0643497183919,-1.70515840114e-07,-3.63589336416e-08,6.29513131169e-06,6.76383005423e-07,1.49051558208,-1.45300590471e-06,0.000996309595368,0.0269547470081,-0.265467613595
1587568138.3,0.780476868153,0.0643497183919,-1.73331705877e-07,-3.57286404906e-08,6.29535391542e-06,6.77606537402e-07,1.46960141301,-1.45299398592e-06,0.00108213243929,0.0269547470081,-0.203635023073
1587568138.34,0.780476868153,0.0643497183919,-1.75431843719e-07,-3.50982052311e-08,6.29557504182e-06,6.80140615363e-07,1.43712775076,-1.45296678152e-06,1063.67749958,0.0269547470081,779866.075705
1587568138.38,0.780475974083,0.0643598437309,7.59030654063e-06,8.20117052491e-07,-1.01519908713e-06,0.00384509012521,0.00244037140009,0.000593244615904,79.623716553,0.0269589883002,9.3263120445
1587568138.42,0.781536996365,0.0639994740486,0.00160547371771,2.36049071756e-06,-2.69330367147e-05,0.0241990023596,-0.0146287487613,0.00437458277593,1305.66259442,0.0268080370006,25.9056088158
1587568138.46,0.781003773212,0.0636550933123,0.00578707991844,7.50297748109e-06,0.000278931568657,0.23639821656,0.000934038375876,0.0193715308719,1078.77543636,0.0266637831351,1.27560131714
1587568138.5,0.779512941837,0.0624343976378,0.0174533140822,1.76988000087e-05,0.00131802558953,0.314060981971,0.000516536485384,0.025187125389,1213.65696695,0.0261524593267,0.927042497121
1587568138.54,0.778691411018,0.0617126375437,0.0238777773038,2.47472926382e-05,0.00192511531083,0.338605117004,0.000234712830184,0.0275982994178,1251.57368856,0.0258501291654,0.843199020232
1587568138.58,0.779084086418,0.0646437332034,0.0307410731697,4.17364674963e-05,0.00282959203489,0.345971611737,0.00517690720994,0.0309006594665,1308.85444434,0.0270779036443,0.886514773237
1587568138.62,0.775382220745,0.0604234747589,0.0596039351914,0.000164775198314,0.00625063904967,0.375164300653,0.00254323195772,0.0790069857899,3405.80237669,0.0253101259209,3.52696630266
1587568138.66,0.775358080864,0.05864084512,0.0746697944897,0.000252239249519,0.00756789417647,0.392771809649,-0.000289645684805,0.0387370407904,467.289033957,0.0245634197639,-0.406726974023
1587568138.7,0.775358080864,0.05864084512,0.0746697944897,0.000252239249519,0.00756789417647,0.392771809649,-0.000289645684805,0.0387370407904,2568.95941444,0.0245634197639,2.26156664219
1587568138.74,0.775694310665,0.0574593879282,0.082200660456,0.00030107325046,0.00818454408524,0.381708377315,-0.00171952382224,0.0495344623426,1502.19254712,0.0240685321327,0.962470941124
1587568138.78,0.775187849998,0.0595851056278,0.111555644459,0.000560670784314,0.00981493575838,0.400739754185,0.0112591620205,0.0272260589606,1673.16657795,0.0249589506805,1.08202565484
1587568138.82,0.772349357605,0.059636041522,0.149606810604,0.000989977622415,0.0128541843994,0.511247329438,0.0129025842092,0.0367217381885,1818.90267244,0.024980286658,0.774139363498
1587568138.86,0.772349357605,0.059636041522,0.149606810604,0.000989977622415,0.0128541843994,0.511247329438,0.0129025842092,0.0367217381885,1894.01106623,0.024980286658,0.847399335005
1587568138.9,0.770970523357,0.0572549290955,0.160120171881,0.00112725849802,0.0137636443896,0.536420636106,0.0137973578177,0.034520012396,2017.955298,0.0239828886171,0.875924640242
1587568138.94,0.770708024502,0.0583729632199,0.193634654795,0.00161858553669,0.0165062045947,0.581820612205,0.0170248977282,0.0477712235271,3502.50113882,0.024451209656,2.00191579156
1587568138.98,0.769098877907,0.0597861371934,0.217125730041,0.00202653299629,0.0187126261209,0.599860318602,0.0214630102161,0.0577081766642,2068.59594896,0.0250431585858,0.719629391007
1587568139.02,0.772676706314,0.0629109144211,0.240268907823,0.00248925550172,0.0206151530824,0.582472688547,0.0204394439755,0.0611730698791,2370.22063206,0.0263520622101,1.02918914687
1587568139.06,0.76904374361,0.0566878281534,0.252228269411,0.00274285353,0.021878321339,0.624479439439,0.0214112187572,0.067024097808,2469.87395456,0.0237453419299,0.972268187091
1587568139.1,0.77346777916,0.0617397390306,0.306618335377,0.0040933730133,0.0277891755973,0.73251453107,0.0289091906854,0.0780882785567,2619.12984296,0.0258614814097,0.782994928839
1587568139.14,0.773048698902,0.0636609494686,0.33665561956,0.00496664174451,0.0311122472802,0.760433347703,0.0306544543228,0.085405348378,2652.33526131,0.0266662361562,0.73930837562
1587568139.18,0.772621154785,0.0612781308591,0.367346114084,0.00597223202142,0.0345200465457,0.770903570864,0.0282700917813,0.158414908205,2609.49941438,0.025668123431,0.687976785803
1587568139.22,0.772941768169,0.0606868416071,0.382699278089,0.00653083222492,0.0359057465071,0.74985520384,0.0425790347297,0.0457497423325,2823.37631183,0.0254204447683,0.877589639474
1587568139.26,0.77638053894,0.0708799511194,0.397710274843,0.00707978510658,0.0374150382665,0.751594199231,0.0363356168767,0.0708765758446,2940.23754922,0.0296901244965,0.950780129458
1587568139.3,0.772468924522,0.0668341815472,0.429240279668,0.0083081925708,0.0407967124978,0.818521615836,0.041615988004,0.0850033735748,2983.43992338,0.027995436501,0.81759227127
1587568139.34,0.775961399078,0.0694846436381,0.445580668677,0.00901380274566,0.0407967124978,0.818521615836,0.041615988004,0.0850033735748,3204.38090411,0.0291056594654,0.952195490811
1587568139.38,0.775961399078,0.0694846436381,0.479353180001,0.0105191929802,0.0469599703598,0.849627042172,0.0474887791989,0.107544869064,3402.97252493,0.0291056594654,0.997282234838
1587568139.42,0.76891207695,0.0621247366071,0.549209256287,0.0141085620847,0.0556561358466,0.860221799791,0.0564254961008,0.142586775083,3379.40894822,0.0260227488175,0.959023423035
1587568139.46,0.779625356197,0.073876388371,0.584094149792,0.016134943269,0.0595489015864,0.92272760759,0.0592950002702,0.0901755550552,3464.65732118,0.0309452691973,0.872389059523
1587568139.5,0.774817287922,0.0680605024099,0.623491223006,0.0186101083216,0.0643225871435,1.02088900588,0.0651691043662,0.114226003,3593.50731316,0.0285091165828,0.755291821919
1587568139.54,0.780751526356,0.0786409378052,0.644009551846,0.0199578690694,0.0668870108235,1.0384179234,0.0660733012818,0.08435688657,3719.72849327,0.0329410389974,0.786275284044
1587568139.58,0.778201460838,0.0752974152565,0.66503173841,0.0213860635368,0.06964177397,1.05759441601,0.0699564019718,0.153137049621,3680.14757302,0.0315405075472,0.735223450393
1587568139.62,0.77650386095,0.0700285881758,0.707120235034,0.0244944696881,0.0762968059949,1.05577337089,0.0757719328293,0.181970770309,3845.52312801,0.0293335064206,0.816327034239
1587568139.66,0.773896217346,0.0626638829708,0.771438800145,0.0297630842546,0.0869218865448,1.09469196474,0.0862253131061,0.161690606428,3599.02923654,0.0262485859182,0.639467332926
1587568139.7,0.773004591465,0.0654243603349,0.860296995788,0.0380688085632,0.0988252795328,1.10686380961,0.0955982157,0.143111120178,4037.46462564,0.0274048919725,0.818963002574
1587568139.74,0.782384514809,0.0798055827618,0.905448810126,0.0426751982797,0.103624242313,1.19127846794,0.101881803812,0.173862151054,4204.93581151,0.033428884336,0.760173190179
1587568139.78,0.785178601742,0.086089797318,0.953768283579,0.0479016019252,0.109435127036,1.24075634214,0.110658968224,0.193901542885,4368.41300118,0.0360612099738,0.75568464327
1587568139.82,0.787981748581,0.0883525311947,0.978722374081,0.0506877925535,0.113211061863,1.27620243317,0.114708297101,0.256229213457,4465.67490019,0.0370090217236,0.744925375166
1587568139.86,0.79277330637,0.095504924655,1.00383117911,0.0536064799834,0.117692644375,1.24934100989,0.117115413466,0.216084654239,4535.31400851,0.0400050092904,0.810238047411
1587568139.9,0.796729505062,0.0985038653016,1.05409724801,0.0597701843066,0.126098245422,1.28731154514,0.125338445924,0.207465603195,4375.3499284,0.0412612026109,0.694878035119
1587568139.94,0.796729505062,0.0985038653016,1.13170147109,0.0700998656928,0.139563767692,1.32508297439,0.138028604289,0.256541592988,4578.32162671,0.0412612026109,0.722949498163
1587568139.98,0.793642520905,0.0876698642969,1.13170147109,0.0700998656928,0.139563767692,1.32508297439,0.138028604289,0.256541592988,4771.99522729,0.0367230668822,0.795834249418
1587568140.02,0.790632665157,0.0809175819159,1.23586495106,0.085804131,0.158792599027,1.35971267822,0.157057088479,0.194594599534,5111.55259727,0.0338946774524,0.874627614666
1587568140.06,0.805233597755,0.110402099788,1.34816441663,0.104668641583,0.174861174051,1.45238233141,0.174715200765,0.28637207133,5120.30298142,0.0462451234181,0.75802086963
1587568140.1,0.805233597755,0.110402099788,1.34816441663,0.104668641583,0.174861174051,1.45238233141,0.174715200765,0.28637207133,5429.97728752,0.0462451234181,0.864345416222
1587568140.14,0.813778162003,0.122183054686,1.377223529,0.109911004844,0.18076089015,1.5036271389,0.18101460829,0.308453075244,5460.05205808,0.0511799182658,0.810781092095
1587568140.18,0.81472235918,0.120726510882,1.40693742205,0.115429982636,0.186780398263,1.52152513142,0.187061900218,0.296491663014,5473.429627,0.0505698026242,0.793864898071
1587568140.22,0.810813248158,0.103649742901,1.49693894314,0.133486966537,0.208343065245,1.50443654214,0.207290393021,0.337324505238,5402.69895328,0.0434167027794,0.79079642278
1587568140.26,0.814908802509,0.101746119559,1.61866497464,0.160864853367,0.232842774417,1.5783613976,0.231956433242,0.291085088975,5658.28456055,0.0426193148983,0.787671256437
1587568140.3,0.832321703434,0.132206633687,1.68103736904,0.175935965507,0.241099140717,1.64412825129,0.241163925957,0.214902715322,5900.9303201,0.0553785852196,0.789757197826
1587568140.34,0.835539460182,0.133517161012,1.74570878792,0.192194973828,0.250668692906,1.70004911978,0.249287128363,0.270829476579,7725.82560707,0.0559275376217,1.2661713999
1587568140.38,0.847200155258,0.149969145656,1.77842340421,0.200675789205,0.255864394242,1.68623594897,0.254492388165,0.262170670479,6126.41465352,0.0628189288342,0.811746233834
1587568140.42,0.850653111935,0.153001204133,1.81127330996,0.209364563185,0.26122173688,1.7183126039,0.260268878938,0.295399314098,7676.52019931,0.0640889945193,1.22777612126
1587568140.46,0.85022264719,0.146688893437,1.94542041882,0.247254158363,0.289674310663,1.72910783238,0.288620690457,0.418760318747,7856.71140426,0.0614448999981,1.26583377385
1587568140.5,0.855830490589,0.147859081626,2.04659245205,0.278646513994,0.312043478045,1.81624206196,0.310725734716,0.391230327751,8510.28671728,0.0619350672803,1.33657532481
1587568140.54,0.861304104328,0.140568211675,2.11476833571,0.30128292954,0.328578583294,1.78683418285,0.327634324107,0.441724347609,4525.00393232,0.0588810748167,0.262827503886
1587568140.58,0.863218784332,0.124909617007,2.18376648558,0.325420101879,0.344272900134,1.87430423111,0.344273142573,0.427274767677,6282.25845861,0.0523220180202,0.671417855747
1587568140.62,0.863218784332,0.124909617007,2.18376648558,0.325420101879,0.344272900134,1.87430423111,0.344273142573,0.427274767677,8570.86557063,0.0523220180202,1.28031015412
1587568140.66,0.875417411327,0.127994611859,2.254224276,0.351398436203,0.360901484659,1.88138230613,0.359943196916,0.367783888997,8586.94700551,0.0536142576422,1.27599367386
1587568140.7,0.878672480583,0.128045111895,2.32594303268,0.379064448387,0.376527081344,1.98045015372,0.37605044461,0.454526645949,8780.61761532,0.0536354110475,1.21090698507
1587568140.74,0.878672480583,0.128045111895,2.39905520811,0.408672876583,0.394168429644,1.95491790612,0.39328736449,0.447760922847,8679.90363832,0.0536354110475,1.21409220262
1587568140.78,0.879421770573,0.120863676071,2.47217513197,0.439820876258,0.411289325198,2.03033008255,0.410638966438,0.468531418462,8904.36319794,0.0506272582441,1.18698366809
1587568140.82,1.0,0.116479702294,2.54555770956,0.47262715846,0.428157876865,1.98552528053,0.427332263598,0.437243546331,6953.7025654,0.0487909036025,0.746425293397
1587568140.86,1.0,0.291822999716,2.61900161411,0.506853515912,0.44405696462,2.0774648798,0.444037226807,0.405462803776,8927.86298819,0.122238532274,1.14300482733
1587568140.9,1.0,0.314101606607,2.72971978888,0.561763998746,0.478259470082,2.0729509871,0.477147100835,0.672979397431,9551.30788842,0.131570573306,1.29764608952
1587568140.94,1.0,0.304620176554,2.84001229904,0.622126901722,0.525198310052,2.07537632232,0.524846661471,0.9901570711,8702.71809487,0.127599001173,1.09106427033
1587568140.98,1.0,0.249874696136,2.87587557844,0.643387504412,0.544303308398,2.10043692742,0.543657496779,0.898467474388,7171.75340711,0.10466726796,0.702648604219
1587568141.02,1.0,0.25629389286,2.91271104033,0.666103269947,0.561065699142,2.1984366851,0.559219937858,0.832282218554,8325.76635837,0.107356134796,0.888511266603
1587568141.06,1.0,0.248365730047,2.94938508186,0.689558289035,0.578064759435,2.16591492531,0.57879967098,0.797407966471,9730.93129396,0.104035193723,1.24038334471
1587568141.1,1.0,0.267849981785,3.09388719046,0.791053839339,0.645705385613,2.22633232956,0.645954119301,0.80241051013,7304.15196806,0.112196738005,0.636021967176
1587568141.14,1.0,0.259155422449,3.16452089007,0.846277598925,0.681062142911,2.27167741821,0.682723785728,0.948925179222,8423.46806862,0.108554769507,0.849071037682
1587568141.18,1.0,0.233046069741,3.2328939454,0.903846909253,0.718583093811,2.23435110618,0.716410533756,0.985182968352,9706.2669,0.0976181094196,1.16625776897
1587568141.22,1.0,0.208463340998,3.26677700913,0.934054823982,0.736480401647,2.31370288905,0.735540907333,0.847436638792,6550.51846549,0.0873209200828,0.411813757526
1587568141.26,1.0,0.200853019953,3.33417983314,0.996973339838,0.766002678604,2.29217315884,0.764904436726,0.738947309122,7835.4305176,0.084133116258,0.704608949885
1587568141.3,1.0,0.200853019953,3.46691826231,1.13074740907,0.809825207662,2.42422212243,0.811220436747,0.451349029345,8237.39753043,0.084133116258,0.694442899806
1587568141.34,1.0,0.208583697677,3.46691826231,1.13074740907,0.809825207662,2.42422212243,0.811220436747,0.451349029345,10369.3640134,0.0873713349706,1.13299105247
1587568141.38,1.0,0.28384193778,3.53373395812,1.20233465544,0.829970871121,2.45104367241,0.829233605042,0.493237764264,10768.6946094,0.118895432868,1.1908938418
1587568141.42,1.0,0.280664891005,3.59996018111,1.27634645558,0.85195179561,2.52939886723,0.851916937335,0.550130733651,9809.73326461,0.117564634627,0.933967636437
1587568141.46,1.0,0.333463847637,3.66569438707,1.35303803926,0.873013615206,2.54104037152,0.872219783133,0.502063572054,10686.5614477,0.139681009863,1.09718018392
1587568141.5,1.0,0.322926521301,3.76268490114,1.47250453738,0.905057068138,2.56462768899,0.904310485798,0.553437128022,11209.3462442,0.135267144929,1.1795421924
1587568141.55,1.0,0.379116028547,3.85761868873,1.59738090796,0.935253429441,2.62227604213,0.934483768657,0.597046980413,9295.13835856,0.158803750686,0.767611322362
1587568141.58,1.0,0.376750707626,3.88871886864,1.64019444495,0.948352014754,2.68156867995,0.947345099376,0.665825474932,9317.30697113,0.157812967375,0.732649840171
1587568141.62,1.0,0.384630084038,3.9197805559,1.68408759512,0.960843678298,2.6792329309,0.959707526123,0.622749780698,11598.6132649,0.161113472848,1.15876276488
1587568141.66,1.0,0.361934304237,4.01043430999,1.81889754923,0.996394427125,2.71943820528,0.995364619375,0.563477891168,9647.90078157,0.151606686837,0.769143076442
1587568141.7,1.0,0.36697858572,4.06910047643,1.91147533771,1.01550989884,2.78247410368,1.01548495604,0.41681912219,9360.96301516,0.153719630523,0.677639803222
1587568141.74,1.0,0.381696999073,4.12667360326,2.00620182635,1.03454116278,2.78980070163,1.03401996538,0.493624609801,11502.1254524,0.159884865091,1.05595802704
1587568141.78,1.0,0.384583264589,4.15514431303,2.05465903289,1.04491452313,2.82760025591,1.04491068861,0.521895511845,10864.7882597,0.161093861164,0.916075323862
1587568141.82,1.0,0.376146405935,4.21024485488,2.152373407,1.06943790137,2.82463110565,1.06886347332,0.606098115219,11510.7876022,0.157559838075,1.03213532915
1587568141.87,1.0,0.334640145302,4.31506090966,2.35530755247,1.11821925908,2.88721006974,1.11931472432,0.566218093152,11716.1389927,0.140173736277,1.02355705834
1587568141.91,1.0,0.334640145302,4.31506090966,2.35530755247,1.11821925908,2.88721006974,1.11931472432,0.566218093152,10284.9983841,0.140173736277,0.776377105809
1587568141.95,1.0,0.342014580965,4.41351704961,2.56617792193,1.14864974782,2.94403222031,1.14830702845,0.449615518434,11377.8459563,0.143262732664,0.92720012032
1587568141.99,1.0,0.342014580965,4.41351704961,2.56617792193,1.14864974782,2.94403222031,1.14830702845,0.449615518434,12043.8099236,0.143262732664,1.04000230123
1587568142.03,1.0,0.332259625196,4.46150009991,2.6756677221,1.16736708794,2.99633414001,1.16717507917,0.465515655503,10302.3071869,0.139176586347,0.71456350671
1587568142.06,1.0,0.320881217718,4.50793717658,2.78718714457,1.18491237615,3.04605965594,1.18496872411,0.413296470335,11379.9989299,0.134410410168,0.863001222514
1587568142.11,1.0,0.300371676683,4.57493341517,2.95779306057,1.20828739054,3.07013936161,1.20862400872,0.377643156296,11798.2077056,0.125819393709,0.916316641807
1587568142.15,1.0,0.299901723862,4.61816568661,3.07390549527,1.22111134529,3.13944383981,1.22065066779,0.334458524474,10577.4425517,0.125622540331,0.680108310234
1587568142.18,1.0,0.291771948338,4.6602571081,3.19187214173,1.23554830385,3.15400498613,1.23430662555,0.367570296089,12899.9118198,0.122217147923,1.03954686604
1587568142.23,1.0,0.285869121552,4.70103650816,3.3117183465,1.25060431796,3.16724455282,1.24989386496,0.360847378197,12873.6518527,0.119744577621,1.02688675857
1587568142.27,1.0,0.280034989119,4.74035729727,3.43323774722,1.26536948212,3.20147132442,1.26457966382,0.357966256877,11816.2558285,0.117300781942,0.840515978592
