time,throttle_input,steering_angle_input,x,y,heading_angle,speed,slip_angle,yaw_rate,motor_rpm,estimated_longitudinal_slip
1588011414.28,0,0,0,0,0,0,0,0,0,0
1588011414.33,0,0,-1.69768924252e-07,-2.41900162123e-08,6.29964391902e-06,6.87087562735e-07,1.36807246437,-1.45271513356e-06,0.00115045136423,-0.16504032886
1588011414.34,0,0,-1.69768924252e-07,-2.41900162123e-08,6.29964391902e-06,6.87087562735e-07,1.36807246437,-1.45271513356e-06,0.00115045136423,-0.16504032886
1588011414.38,0,0,-1.6977012951e-07,-2.32429915314e-08,6.2999515574e-06,6.87322556086e-07,1.3657416806,-1.45266350932e-06,0.00115411809505,-0.162665516375
1588011414.41,0,0,-1.6977012951e-07,-2.32429915314e-08,6.2999515574e-06,6.87322556086e-07,1.3657416806,-1.45266350932e-06,0.00115775960847,-0.160023529589
1588011414.45,0,0,-1.69677289552e-07,-2.19799982659e-08,6.30035810682e-06,6.87636178466e-07,1.36267386854,-1.45259517417e-06,0.00116128377179,-0.157850951567
1588011414.5,0,0,-1.69677289552e-07,-2.19799982659e-08,6.30035810682e-06,6.87636178466e-07,1.36267386854,-1.45259517417e-06,0.00116496331607,-0.15518259023
1588011414.54,0,0,-1.69637440095e-07,-2.16641966588e-08,6.30045909238e-06,6.87714780394e-07,1.3619140894,-1.45257870844e-06,0.00116852792938,-0.152694428783
1588011414.58,0,0,-1.69591002575e-07,-2.13483746236e-08,6.30055982126e-06,6.87793129454e-07,1.36115698534,-1.45256082756e-06,0.00117197714002,-0.150290193144
1588011414.62,0,0,-1.6947849657e-07,-2.07166683808e-08,6.30076050243e-06,6.87950609313e-07,1.35965163394,-1.45252676662e-06,0.00117557829541,-0.147874380512
1588011414.66,0,0,-1.69340041545e-07,-2.00848768728e-08,6.30096014794e-06,6.88107756253e-07,1.35815746207,-1.45249191775e-06,0.00117897917141,-0.145604400865
1588011414.7,0,0,-1.69084289681e-07,-1.91370359559e-08,6.30125768177e-06,6.88344378706e-07,1.35593742783,-1.45244126715e-06,0.00118244195331,-0.143389520153
1588011414.74,0,0,-1.68654954891e-07,-1.787295556e-08,6.3016507925e-06,6.88659525792e-07,1.35301627525,-1.45237304521e-06,0.00118596580999,-0.141229864474
1588011414.78,0,0,-1.68403026191e-07,-1.72407901289e-08,6.30184580989e-06,6.88816988218e-07,1.35157211863,-1.45233957432e-06,0.00118937775308,-0.138956119329
