throttle,steering,rpm
0,0,0
1.0,0.321762830019,8714.6580936
1.0,0.321762830019,8714.6580936
1.0,0.338628649712,7029.26226004
1.0,0.323805570602,6691.98464925
1.0,0.317210674286,7364.50387657
1.0,0.292112976313,9096.96720419
1.0,0.292112976313,7540.98442592
1.0,0.254044383764,9157.53448597
1.0,0.305209159851,9120.77336003
1.0,0.302306473255,9302.58644615
1.0,0.307053804398,9620.80797877
1.0,0.30159920454,9295.25524024
1.0,0.294845432043,7783.94296129
1.0,0.268528044224,8449.74849077
1.0,0.297890901566,10051.4374567
1.0,0.336840838194,10161.8126344
1.0,0.358871161938,10089.5215155
1.0,0.387402683496,8180.07787422
1.0,0.390812635422,8208.98005109
1.0,0.390812635422,8155.74606787
1.0,0.339253216982,8596.65161127
1.0,0.390661776066,10269.7378988
1.0,0.401862442493,9134.92220789
1.0,0.401862442493,8900.33218087
1.0,0.356495708227,9025.24146137
1.0,0.342151433229,11170.4619231
1.0,0.373743981123,9130.75560144
1.0,0.383258610964,9168.34811347
1.0,0.364058196545,9378.56103336
1.0,0.35228228569,11281.9552198
1.0,0.334561496973,11208.8872472
1.0,0.327539294958,9741.51401338
1.0,0.325361281633,11594.1123719
1.0,0.306320607662,11151.2397752
1.0,0.306320607662,11552.2933295
1.0,0.280331939459,10153.3565252
1.0,0.282977610826,10364.8741197
1.0,0.274339556694,10331.8688756
1.0,0.264125466347,12145.1504942
1.0,0.250921279192,10685.2366768
1.0,0.248791709542,10569.0186335
1.0,0.225265517831,11449.0360549
1.0,0.221980884671,10891.3649857
1.0,0.217035770416,12870.3076708
1.0,0.214824646711,11074.815991
1.0,0.211792558432,11204.2013611
1.0,0.203929051757,12195.9333622
1.0,0.203929051757,12537.4043021
1.0,0.187588378787,11395.5058893
1.0,0.175443872809,13575.9596881
1.0,0.174234583974,11716.8639554
1.0,0.169170871377,11860.7633707
1.0,0.166521206498,12796.2840219
1.0,0.166468292475,11900.7875717
1.0,0.156627655029,12089.5913803
1.0,0.144738599658,12226.2088363
1.0,0.140576690435,12354.7428826
1.0,0.136490553617,14206.2151755
1.0,0.134047299623,14351.739306
1.0,0.120738551021,14214.4241138
1.0,0.120738551021,12884.4804246
1.0,0.106836348772,12974.6367209
1.0,0.106770709157,13128.2059848
1.0,0.109923042357,13190.1528187
1.0,0.109923042357,13246.2315756
1.0,0.113642804325,13309.7629492
1.0,0.114433772862,13505.7814357
1.0,0.116358816624,13606.7156412
1.0,0.119187094271,13719.9230818
1.0,0.120340764523,13683.9945279
1.0,0.126206040382,13814.4442642
1.0,0.143633276224,13804.260783
1.0,0.142553657293,15721.2471185
1.0,0.147534146905,15792.3170422
1.0,0.146605089307,13750.606154
1.0,0.136550098658,13725.5799344
1.0,0.136550098658,13732.4111521
1.0,0.132906556129,13692.0453561
1.0,0.15198777616,13940.8087259
1.0,0.153564766049,13820.0108591
1.0,0.140208363533,15603.281383
1.0,0.122469693422,13777.3768745
1.0,0.122603803873,13690.6926015
1.0,0.120681069791,13690.5695067
1.0,0.1463688761,15722.955376
1.0,0.153294444084,15589.0569223
1.0,0.161294460297,13710.1409499
1.0,0.169854089618,13760.1700754
1.0,0.173421248794,13678.4549854
1.0,0.173421248794,15486.8549287
1.0,0.188066020608,13633.941521
0.858415901661,0.179371744394,13520.514727
0.848824799061,0.0528780259192,15250.3300708
0.837932765484,0.0608105920255,15672.9974781
0.836327373981,0.0786795094609,13364.1171421
0.807627916336,0.0819287002087,13298.6897389
0.800742149353,0.10656607151,13401.2072368
0.803417742252,0.115500874817,12875.0311637
0.802984237671,0.122169204056,12813.119233
0.793717861176,0.108836852014,12838.8683569
0.786404132843,0.102624341846,12761.0748552
0.785284876823,0.112478129566,12717.2722899
0.783700466156,0.137782350183,14705.4225068
0.768968164921,0.139904677868,12486.5243733
0.768968164921,0.139904677868,12281.7641756
0.756298720837,0.155926972628,12147.2286408
0.762228190899,0.255593150854,11990.3427704
0.762228190899,0.255593150854,11835.0542797
0.765238344669,0.285627096891,11744.5319813
0.764494657516,0.299790292978,11724.1078546
0.755949437618,0.294116646051,11792.0133181
0.748785614967,0.297978401184,11631.1755199
0.732385873795,0.291304558516,11356.2039373
0.748306930065,0.33514559269,12794.4872902
0.748520314693,0.355063408613,11140.2455639
0.755244910717,0.366082817316,11100.4457391
0.759660482407,0.381277471781,11112.9672633
0.743331313133,0.361772686243,11023.7744129
0.743331313133,0.361772686243,10933.093237
1.0,0.48473161459,12402.3155915
1.0,0.50057476759,12841.20546
1.0,0.527249515057,11318.4082794
1.0,0.527249515057,13722.0515014
1.0,0.522118628025,13068.9287889
1.0,0.519979476929,12882.2272328
1.0,0.506569087505,11488.3849261
1.0,0.497378915548,11673.6899755
1.0,0.472744047642,13933.9978118
1.0,0.453765869141,12042.8876776
1.0,0.438005983829,12156.8485842
1.0,0.426010817289,13591.7668661
1.0,0.427330732346,13280.37621
1.0,0.425423175097,12474.744217
1.0,0.415651679039,12381.4638436
1.0,0.415651679039,12597.9488268
1.0,0.393525123596,12725.5871638
1.0,0.36986041069,12929.2819683
1.0,0.347148507833,12992.9611378
1.0,0.347148507833,13272.2755725
1.0,0.336881697178,14855.9982612
1.0,0.320844620466,13322.240069
1.0,0.308473974466,13449.5956882
1.0,0.292112827301,13801.5825461
1.0,0.272973418236,15825.5813191
1.0,0.271703600883,15612.9163205
1.0,0.262427270412,15815.736687
1.0,0.253711313009,13734.5316282
1.0,0.239686384797,13650.1618723
1.0,0.225670918822,15812.8353276
1.0,0.216247335076,13710.094446
1.0,0.216247335076,15852.8447868
1.0,0.192451655865,13958.6655526
1.0,0.173510923982,15342.3308845
1.0,0.171828567982,13500.4605795
1.0,0.171828567982,15525.8914409
1.0,0.170217499137,15414.609146
1.0,0.165511071682,15203.8020901
1.0,0.152062058449,15460.1817704
1.0,0.133136197925,15955.9288202
1.0,0.132839113474,13795.3861684
1.0,0.129057154059,13816.5995744
1.0,0.125108316541,13822.7792078
1.0,0.123338550329,13789.5015657
1.0,0.118769086897,13802.1807893
1.0,0.118769086897,13807.850879
1.0,0.102853536606,13770.224866
1.0,0.110192611814,13809.6868098
1.0,0.110745735466,13815.9671756
1.0,0.110745735466,13815.221362
