time,throttle_input,steering_angle_input,speed,yaw_rate,motor_rpm
1569511572.82,0,0,0,0,0
1569511572.86,0,0,0,0,0
1569511572.9,0,0,0.0,-0.0,-0.000387665188655
1569511572.94,0,0,0.0,-0.0,2680.36332033
1569511572.98,0,0,0.0,-0.0,2171.07717791
1569511573.02,0,0,0.0,-0.0,2781.00806261
1569511573.06,0,0,0.0,-0.0,2686.62039594
1569511573.1,0,0,0.0,-0.0,2891.15239449
1569511573.14,0,0,0.0,-0.0,2220.16562108
1569511573.18,0,0,0.0,-0.0,2648.61776114
1569511573.22,0,0,0.0,-0.0,3324.88382335
1569511573.26,0,0,0.0,-0.0,2785.6872133
1569511573.3,0,0,0.0,-0.0,2795.58970774
1569511573.34,0,0,0.0,-0.0,3382.86697494
1569511573.38,0,0,0.0,-0.0,2588.22445286
1569511573.42,0,0,0.0,-0.0,2801.78132459
1569511573.46,0,0,0.0,-0.0,2777.0962445
1569511573.5,0,0,0.0,-0.0,3300.96505086
1569511573.54,0,0,0.0,-0.0,2589.84390437
1569511573.58,0,0,0.0,-0.0,3519.19253191
1569511573.62,0,0,0.0,-0.0,2957.0300554
1569511573.66,0,0,0.0,-0.0,3294.48497839
1569511573.7,0,0,0.0,-0.0,2222.16089572
1569511573.74,0,0,0.0,-0.0,3379.49519245
1569511573.78,0,0,0.0,-0.0,2778.66619557
1569511573.82,0,0,0.0,-0.0,2684.45000711
1569511573.86,0,0,0.0,-0.0,3429.79090447
1569511573.9,0,0,0.0,-0.0,2742.96875454
1569511573.94,0,0,0.0,-0.0,2724.23444645
1569511573.98,0,0,0.0,-0.0,3323.96646864
1569511574.02,0,0,0.0,-0.0,2742.23547257
1569511574.06,0,0,0.0,-0.0,2728.72434552
1569511574.1,0,0,0.0,-0.0,2805.21259393
1569511574.14,0,0,0.0,-0.0,2859.31949705
1569511574.18,0,0,0.0,-0.0,2862.8932344
1569511574.22,0,0,0.0,-0.0,3275.09422176
1569511574.26,0,0,0.0,-0.0,2753.70986379
1569511574.3,0,0,0.0,-0.0,2707.26014665
1569511574.34,0,0,0.0,-0.0,3422.74191208
1569511574.38,0,0,0.0,-0.0,2642.63984408
1569511574.42,0,0,0.0,-0.0,3402.48315977
1569511574.46,0,0,0.0,-0.0,3269.32671266
1569511574.5,0,0,0.0,-0.0,3767.57526848
1569511574.54,0,0,0.0,-0.0,3404.283318
1569511574.58,0,0,0.0,-0.0,4444.21714407
1569511574.62,0,0,0.0,-0.0,3254.89351184
1569511574.66,0,0,0.0,-0.0,4297.99716114
1569511574.7,0,0,0.0,-0.0,4583.77181159
1569511574.74,0,0,0.0,-0.0,4377.32481417
1569511574.78,0,0,0.0,-0.0,4420.97733222
1569511574.82,0,0,0.0,-0.0,4732.52666184
1569511574.86,0,0,0.0,-0.0,5225.94407014
1569511574.9,0,0,0.0,-0.0,5552.39518492
1569511574.94,0,0,0.0,-0.0,5488.33032858
1569511574.98,0,0,0.0,-0.0,5611.60192443
1569511575.02,0,0,0.0,-0.0,7008.07010161
1569511575.06,0,0,0.0,-0.0,6176.71876952
1569511575.1,0,0,0.0,-0.0,7017.89846409
1569511575.14,0,0,0.0,-0.0,6680.29887842
1569511575.18,0,0,0.0,-0.0,7850.48818748
1569511575.22,0,0,0.0,-0.0,6332.51178474
1569511575.26,0,0,0.0,-0.0,7702.65592388
1569511575.3,0,0,0.0,-0.0,7557.95297752
1569511575.34,0,0,0.0,-0.0,8177.80242634
1569511575.38,0,0,0.0,-0.0,8340.51719567
1569511575.42,0,0,0.0,-0.0,8329.42588659
1569511575.46,0,0,0.0,-0.0,8309.72104818
1569511575.5,0,0,0.0,-0.0,8830.68173976
1569511575.54,0,0,0.0,-0.0,8666.16604012
1569511575.58,0,0,0.0,-0.0,8989.88122243
1569511575.62,0,0,0.0,-0.0,9233.76948977
1569511575.66,0,0,0.0,-0.0,8543.20843109
1569511575.7,0,0,0.0,-0.0,9401.73393264
1569511575.74,0,0,0.0,-0.0,9483.09332829
1569511575.78,0,0,0.0,-0.0,10233.7075727
1569511575.82,0,0,0.0,-0.0,9829.14860377
1569511575.86,0,0,0.0,-0.0,9355.07942061
1569511575.9,0,0,0.0,-0.0,9935.96967783
1569511575.94,0,0,0.0,-0.0,10583.7369331
1569511575.98,0,0,0.0,-0.0,9682.52851418
1569511576.02,0,0,0.0,-0.0,9772.93873982
1569511576.06,0,0,0.0,-0.0,10950.0150229
1569511576.1,0,0,0.0,-0.0,10250.3027531
1569511576.14,0,0,0.0,-0.0,10731.2611319
1569511576.18,0,0,0.0,-0.0,10523.6080641
1569511576.22,0,0,0.0,-0.0,10348.3189929
1569511576.26,0,0,0.0,-0.0,10590.3005103
1569511576.3,0,0,0.0,-0.0,10734.9907008
1569511576.34,0,0,0.0,-0.0,11710.5538114
1569511576.38,0,0,0.0,-0.0,11003.794177
1569511576.42,0,0,0.0,-0.0,10743.4230973
1569511576.46,0,0,0.0,-0.0,10881.6714807
1569511576.5,0,0,0.0,-0.0,12156.1724601
1569511576.54,0,0,0.0,-0.0,11182.3809148
1569511576.58,0,0,0.0,-0.0,11268.6157796
1569511576.62,0,0,0.0,-0.0,11932.2774531
1569511576.66,0,0,0.0,-0.0,10258.4033857
1569511576.7,0,0,0.0,-0.0,11793.8825378
1569511576.74,0,0,0.0,-0.0,11352.1839025
1569511576.78,0,0,0.0,-0.0,12011.3254341
1569511576.82,0,0,0.0,-0.0,11394.0266998
1569511576.86,0,0,0.0,-0.0,11785.1157812
1569511576.9,0,0,0.0,-0.0,11584.8496221
1569511576.94,0,0,0.0,-0.0,11969.4935892
1569511576.98,0,0,0.0,-0.0,10701.5750978
1569511577.02,0,0,0.0,-0.0,12251.526764
1569511577.06,0,0,0.0,-0.0,11230.5409541
1569511577.1,0,0,0.0,-0.0,12031.1592188
1569511577.14,0,0,0.0,-0.0,11345.6670123
1569511577.18,0,0,0.0,-0.0,12473.8976941
1569511577.22,0,0,0.0,-0.0,12087.3314121
1569511577.26,0,0,0.0,-0.0,11573.2134244
1569511577.3,0,0,0.0,-0.0,12115.4042494
1569511577.34,0,0,0.0,-0.0,11754.0116365
1569511577.38,0,0,0.0,-0.0,11956.8099516
1569511577.42,0,0,0.0,-0.0,12099.4474134
1569511577.46,0,0,0.0,-0.0,11549.7417667
1569511577.5,0,0,0.0,-0.0,11772.514524
1569511577.54,0,0,0.0,-0.0,10848.3354791
1569511577.58,0,0,0.0,-0.0,11635.9318451
1569511577.62,0,0,0.0,-0.0,11002.7250752
1569511577.66,0,0,0.0,-0.0,11539.3180548
1569511577.7,0,0,0.0,-0.0,11185.2841178
1569511577.74,0,0,0.0,-0.0,11099.8923789
1569511577.78,0,0,0.0,-0.0,11448.1958974
1569511577.82,0,0,0.0,-0.0,12011.8350425
1569511577.86,0,0,0.0,-0.0,12303.3646422
1569511577.9,0,0,0.0,-0.0,10740.3663512
1569511577.94,0,0,0.0,-0.0,12610.5022504
1569511577.98,0,0,0.0,-0.0,11128.6297324
1569511578.02,0,0,0.0,-0.0,11087.1653949
1569511578.06,0,0,0.0,-0.0,13142.4622883
1569511578.1,0,0,0.0,-0.0,11215.5416464
1569511578.14,0,0,0.0,-0.0,12656.7679636
1569511578.18,0,0,0.0,-0.0,11954.5380111
1569511578.22,0,0,0.0,-0.0,11435.1166991
1569511578.26,0,0,0.0,-0.0,11874.2279209
1569511578.3,0,0,0.0,-0.0,11984.6249935
1569511578.34,0,0,0.0,-0.0,12205.6465608
1569511578.38,0,0,0.0,-0.0,12105.3733623
1569511578.42,0,0,0.0,-0.0,11493.276422
1569511578.46,0,0,0.0,-0.0,11739.6683905
1569511578.5,0,0,0.0,-0.0,10785.969484
1569511578.54,0,0,0.0,-0.0,12481.0965097
1569511578.58,0,0,0.0,-0.0,10528.7328281
1569511578.62,0,0,0.0,-0.0,11966.9376294
1569511578.66,0,0,0.0,-0.0,10825.6244659
