time,throttle_input,steering_angle_input,speed,yaw_rate,motor_rpm
1569511935.17,0,0,0,0,0
1569511935.21,0,0,0.0,-0.0,6.38510595251e-05
1569511935.25,0,0,0.0,-0.0,0.0
1569511935.29,0,0,0.0,-0.0,0.0
1569511935.33,0,0,0.0,-0.0,0.0
1569511935.37,0,0,0.0,-0.0,0.0
1569511935.41,0,0,0.0,-0.0,0.0
1569511935.45,0,0,0.0,-0.0,0.0
1569511935.49,0,0,0.0,-0.0,0.0
1569511935.53,0,0,0.0,-0.0,0.0
1569511935.57,0,0,0.0,-0.0,0.0
1569511935.61,0,0,0.0,-0.0,0.0
1569511935.65,0,0,0.0,-0.0,0.0
1569511935.69,0,0,0.0,-0.0,0.0
1569511935.73,0,0,0.0,-0.0,0.0
1569511935.77,0,0,0.0,-0.0,0.0
1569511935.81,0,0,0.0,-0.0,0.0
1569511935.85,0,0,0.0,-0.0,0.0
1569511935.89,0,0,0.0,-0.0,0.0
1569511935.93,0,0,0.0,-0.0,0.0
1569511935.97,0,0,0.0,-0.0,0.0
1569511936.01,0,0,0.0,-0.0,0.0
1569511936.05,0,0,0.0,-0.0,0.0
1569511936.09,0,0,0.0,-0.0,0.0
1569511936.13,0,0,0.0,-0.0,0.0
1569511936.17,0,0,0.0,-0.0,0.0
1569511936.21,0,0,0.0,-0.0,0.0
1569511936.25,0,0,0.0,-0.0,0.0
1569511936.29,0,0,0.0,-0.0,0.0
1569511936.33,0,0,0.0,-0.0,530.912609562
1569511936.37,0,0,0.0,-0.0,565.652942693
1569511936.41,0,0,0.466774599501,-0.654373364678,586.656057291
1569511936.45,0,0,0.464851976462,-0.651678030981,1585.3974476
1569511936.49,0,0,0.932843642723,-1.3077576069,553.558968102
1569511936.53,0,0,0.930200622815,-1.30405234567,1629.05743105
1569511936.57,0,0,0.463561371676,-0.649868726453,1514.90621313
1569511936.61,0,0,0.951680967866,-1.3341657359,1603.13656208
1569511936.65,0,0,0.480615728781,-0.673777304712,1698.28213572
1569511936.69,0,0,0.483374711421,-0.677645134612,2193.1893236
1569511936.73,0,0,0.909600651933,-1.27517315586,2136.60802826
1569511936.77,0,0,1.43109713443,-2.00626136906,2251.62605651
1569511936.81,0,0,1.40153144846,-1.96481310382,2170.81498861
1569511936.85,0,0,0.924950486498,-1.29669215646,2303.6766079
1569511936.89,0,0,0.938418781089,-1.31557341791,2699.79402206
1569511936.93,0,0,0.93464985034,-1.31028973731,3724.04779568
1569511936.97,0,0,2.34207988544,-3.2833720957,2586.30929869
1569511937.01,0,0,1.8898235401,-2.64935193539,2721.53189526
1569511937.05,0,0,1.39653993459,-1.95781547857,2908.24103692
1569511937.09,0,0,1.87193734412,-2.62427719856,2790.02328177
1569511937.13,0,0,1.41373717286,-1.98192436256,3257.47757802
1569511937.17,0,0,2.33052611131,-3.2671748089,3467.23720064
1569511937.21,0,0,1.86463480713,-2.61403973982,2749.66609559
1569511937.25,0,0,1.86990910687,-2.62143380383,3273.1253107
1569511937.29,0,0,1.40416866286,-1.9685102263,3958.57405665
1569511937.33,0,0,1.87496092311,-2.62851596724,3311.83492034
1569511937.37,0,0,1.38369806658,-1.93981240731,3285.77503366
1569511937.41,0,0,0.940065367911,-1.31788177522,3623.69312291
1569511937.45,0,0,2.32465884741,-3.25894946584,3856.19299794
1569511937.49,0,0,1.4184810733,-1.98857485745,3591.16743011
1569511937.53,0,0,2.81764263632,-3.95006560845,3867.38136218
1569511937.57,0,0,1.40072611718,-1.96368410636,3637.60493998
1569511937.61,0,0,2.7965778612,-3.92053480754,4402.82676775
1569511937.65,0,0,1.40287572708,-1.96669765394,3270.6486065
1569511937.69,0,0,1.8683147371,-2.61919864984,3943.82715533
1569511937.73,0,0,1.40052492895,-1.96340205969,4362.14983186
1569511937.77,0,0,2.79831676035,-3.9229725779,3862.18095929
1569511937.81,0,0,1.41036999595,-1.97720390243,4358.67445674
1569511937.85,0,0,2.79476101673,-3.91798776527,4330.57268722
1569511937.89,0,0,1.86969397696,-2.62113221227,5194.30364187
1569511937.93,0,0,3.2527232966,-4.5600071003,4414.66959039
1569511937.97,0,0,1.87812088845,-2.63294593656,4256.73612991
1569511938.01,0,0,1.41233109404,-1.97995317447,5471.23909857
1569511938.05,0,0,3.26448428879,-4.57649488699,4645.7568564
1569511938.09,0,0,2.36411219455,-3.31425928677,4919.5843518
1569511938.13,0,0,3.26995804272,-4.58416856671,5334.15328962
1569511938.17,0,0,3.2671094018,-4.58017504447,4894.49470123
1569511938.21,0,0,2.8573855029,-4.00578130797,5474.73502846
1569511938.25,0,0,2.8573855029,-4.00578130797,5624.5695384
1569511938.29,0,0,2.7957225814,-3.91933578702,4743.15098175
1569511938.33,0,0,2.80971300964,-3.93894902992,5832.37066382
1569511938.37,0,0,2.80188156336,-3.92797009093,5170.60641259
1569511938.41,0,0,2.34133755346,-3.28233141723,5816.66132492
1569511938.45,0,0,3.2633605313,-4.57491948642,5924.59772739
1569511938.49,0,0,3.75136452613,-5.25905443381,5672.81645608
1569511938.53,0,0,1.8708419088,-2.62274150296,6021.02093254
1569511938.57,0,0,2.82201895522,-3.95620078917,5024.39842104
1569511938.61,0,0,3.73831273742,-5.2407570738,6518.10499537
1569511938.65,0,0,3.73831273742,-5.2407570738,5484.05662351
1569511938.69,0,0,4.19972493577,-5.88761286471,6145.56403441
1569511938.73,0,0,2.36317254509,-3.31294198806,6189.05526739
