time,throttle_input,steering_angle_input,speed,yaw_rate,motor_rpm
1569511402.93,0,0,0,0,0
1569511402.97,0,0,0,0,0
1569511403.01,0,0,0.0,0.0,0.0
1569511403.05,0,0,0.0,0.0,0.0
1569511403.09,0,0,0.0,0.0,0.0
1569511403.13,0,0,0.0,0.0,0.0
1569511403.17,0,0,0.0,0.0,0.0
1569511403.21,0,0,0.0,0.0,0.0
1569511403.25,0,0,0.0,0.0,0.0
1569511403.29,0,0,0.0,0.0,0.0
1569511403.33,0,0,0.0,0.0,0.0
1569511403.37,0,0,0.0,0.0,0.0
1569511403.41,0,0,0.0,0.0,0.0
1569511403.45,0,0,0.0,0.0,0.0
1569511403.49,0,0,0.0,0.0,0.0
1569511403.53,0,0,0.0,0.0,0.0
1569511403.57,0,0,0.0,0.0,0.0
1569511403.61,0,0,0.0,0.0,0.0
1569511403.65,0,0,0.0,0.0,0.0
1569511403.69,0,0,0.0,0.0,0.0
1569511403.73,0,0,0.0,0.0,0.0
1569511403.77,0,0,0.0,0.0,0.0
1569511403.81,0,0,0.0,0.0,0.0
1569511403.85,0,0,0.0,0.0,0.0
1569511403.89,0,0,0.0,0.0,0.0
1569511403.93,0,0,0.0,0.0,0.0
1569511403.97,0,0,0.0,0.0,0.0
1569511404.01,0,0,0.0,0.0,0.0
1569511404.05,0,0,0.0,0.0,0.0
1569511404.09,0,0,0.0,0.0,0.0
1569511404.13,0,0,0.0,0.0,0.0
1569511404.17,0,0,0.0,0.0,0.0
1569511404.21,0,0,0.0,0.0,0.0
1569511404.25,0,0,0.0,0.0,0.0
1569511404.29,0,0,0.0,0.0,0.0
1569511404.33,0,0,0.0,0.0,0.0
1569511404.37,0,0,0.0,0.0,0.0
1569511404.41,0,0,0.0,0.0,0.0
1569511404.45,0,0,0.0,0.0,0.0
1569511404.49,0,0,0.0,0.0,0.0
1569511404.53,0,0,0.0,0.0,0.0
1569511404.57,0,0,0.0,0.0,0.0
1569511404.61,0,0,0.0,0.0,0.0
1569511404.65,0,0,0.0,0.0,0.0
1569511404.69,0,0,0.0,0.0,0.0
1569511404.73,0,0,0.0,0.0,0.0
1569511404.77,0,0,0.0,0.0,0.0
1569511404.81,0,0,0.0,0.0,0.0
1569511404.85,0,0,0.0,0.0,0.0
1569511404.89,0,0,0.0,0.0,0.0
1569511404.93,0,0,0.0,0.0,0.0
1569511404.97,0,0,0.0,0.0,0.0
1569511405.01,0,0,0.0,0.0,0.0
1569511405.05,0,0,0.0,0.0,0.0
1569511405.09,0,0,0.0,0.0,0.0
1569511405.13,0,0,0.0,0.0,0.0
1569511405.17,0,0,0.0,0.0,0.0
1569511405.21,0,0,0.0,0.0,0.0
1569511405.25,0,0,0.0,0.0,0.0
1569511405.29,0,0,0.0,0.0,0.0
1569511405.33,0,0,0.0,0.0,0.0
1569511405.37,0,0,0.0,0.0,0.0
1569511405.41,0,0,0.0,0.0,0.0
1569511405.45,0,0,0.0,0.0,0.0
1569511405.49,0,0,0.0,0.0,0.0
1569511405.53,0,0,0.0,0.0,0.0
1569511405.57,0,0,0.0,0.0,0.0
1569511405.61,0,0,0.0,0.0,0.0
1569511405.65,0,0,0.0,0.0,0.0
1569511405.69,0,0,0.0,0.0,0.0
1569511405.73,0,0,0.0,0.0,0.0
1569511405.77,0,0,0.0,0.0,0.0
1569511405.81,0,0,0.0,0.0,0.0
1569511405.85,0,0,0.0,0.0,0.0
1569511405.89,0,0,0.0,0.0,0.0
1569511405.93,0,0,0.0,0.0,0.0
1569511405.97,0,0,0.0,0.0,0.0
1569511406.01,0,0,0.0,0.0,0.0
1569511406.05,0,0,0.0,0.0,0.0
1569511406.09,0,0,0.0,0.0,0.0
1569511406.13,0,0,0.0,0.0,0.0
1569511406.17,0,0,0.0,0.0,0.0
1569511406.21,0,0,0.0,0.0,0.0
1569511406.25,0,0,0.0,0.0,0.0
1569511406.29,0,0,0.0,0.0,0.0
1569511406.33,0,0,0.0,0.0,0.0
1569511406.37,0,0,0.0,0.0,0.0
1569511406.41,0,0,0.0,0.0,0.0
1569511406.45,0,0,0.0,0.0,0.0
1569511406.49,0,0,0.0,0.0,0.0
1569511406.53,0,0,0.0,0.0,0.0
1569511406.57,0,0,0.0,0.0,0.0
1569511406.61,0,0,0.0,0.0,0.0
1569511406.65,0,0,0.0,0.0,0.0
1569511406.69,0,0,0.0,0.0,0.0
1569511406.73,0,0,0.0,0.0,0.0
1569511406.77,0,0,0.0,0.0,0.0
1569511406.81,0,0,0.0,0.0,0.0
1569511406.85,0,0,0.0,0.0,0.0
1569511406.89,0,0,0.0,0.0,0.0
1569511406.93,0,0,0.0,0.0,0.0
1569511406.97,0,0,0.0,0.0,0.0
1569511407.01,0,0,0.0,0.0,0.0
1569511407.05,0,0,0.0,0.0,0.0
1569511407.09,0,0,0.0,0.0,0.0
1569511407.13,0,0,0.0,0.0,0.0
1569511407.17,0,0,0.0,0.0,0.0
1569511407.21,0,0,0.0,0.0,0.0
1569511407.25,0,0,0.0,0.0,0.0
1569511407.29,0,0,0.0,0.0,0.0
1569511407.33,0,0,0.0,0.0,0.0
1569511407.37,0,0,0.0,0.0,0.0
1569511407.41,0,0,0.0,0.0,0.0
1569511407.45,0,0,0.0,0.0,0.0
1569511407.49,0,0,0.0,0.0,0.0
1569511407.53,0,0,0.0,0.0,0.0
1569511407.57,0,0,0.0,0.0,0.0
1569511407.61,0,0,0.0,0.0,0.0
1569511407.65,0,0,0.0,0.0,0.0
1569511407.69,0,0,0.0,0.0,0.0
1569511407.73,0,0,0.0,0.0,0.0
1569511407.77,0,0,0.0,0.0,0.0
1569511407.81,0,0,0.0,0.0,0.0
1569511407.85,0,0,0.0,0.0,0.0
1569511407.89,0,0,0.0,0.0,0.0
1569511407.93,0,0,0.0,0.0,0.0
1569511407.97,0,0,0.0,0.0,0.0
1569511408.01,0,0,0.0,0.0,0.0
1569511408.05,0,0,0.0,0.0,0.0
1569511408.09,0,0,0.0,0.0,0.0
1569511408.13,0,0,0.0,0.0,0.0
1569511408.17,0,0,0.0,0.0,0.0
1569511408.21,0,0,0.0,0.0,0.0
1569511408.25,0,0,0.0,0.0,0.0
1569511408.29,0,0,0.0,0.0,0.0
1569511408.33,0,0,0.0,0.0,0.0
1569511408.37,0,0,0.0,0.0,0.0
1569511408.41,0,0,0.0,0.0,0.0
1569511408.45,0,0,0.0,0.0,0.0
1569511408.49,0,0,0.0,0.0,0.0
1569511408.53,0,0,0.0,0.0,0.0
1569511408.57,0,0,0.0,0.0,0.0
1569511408.61,0,0,0.0,0.0,0.0
1569511408.65,0,0,0.0,0.0,0.0
1569511408.69,0,0,0.0,0.0,0.0
1569511408.73,0,0,0.0,0.0,0.0
1569511408.77,0,0,0.0,0.0,0.0
1569511408.81,0,0,0.0,0.0,0.0
1569511408.85,0,0,0.0,0.0,0.0
1569511408.89,0,0,0.0,0.0,0.0
1569511408.93,0,0,0.0,0.0,0.0
1569511408.97,0,0,0.0,0.0,0.0
1569511409.01,0,0,0.0,0.0,0.0
1569511409.05,0,0,0.0,0.0,0.0
1569511409.09,0,0,0.0,0.0,0.0
1569511409.13,0,0,0.0,0.0,0.0
1569511409.17,0,0,0.0,0.0,0.0
1569511409.21,0,0,0.0,0.0,0.0
1569511409.25,0,0,0.0,0.0,0.0
1569511409.29,0,0,0.0,0.0,0.0
1569511409.33,0,0,0.0,0.0,0.0
1569511409.37,0,0,0.0,0.0,0.0
1569511409.41,0,0,0.0,0.0,0.0
1569511409.45,0,0,0.0,0.0,0.0
1569511409.49,0,0,0.0,0.0,0.0
1569511409.53,0,0,0.0,0.0,0.0
1569511409.57,0,0,0.0,0.0,0.0
1569511409.61,0,0,0.0,0.0,0.0
1569511409.65,0,0,0.0,0.0,0.0
1569511409.69,0,0,0.0,0.0,0.0
1569511409.73,0,0,0.0,0.0,0.0
1569511409.77,0,0,0.0,0.0,0.0
1569511409.81,0,0,0.0,0.0,0.0
1569511409.85,0,0,0.0,0.0,0.0
1569511409.89,0,0,0.0,0.0,0.0
1569511409.93,0,0,0.0,0.0,0.0
1569511409.97,0,0,0.0,0.0,0.0
1569511410.01,0,0,0.0,0.0,0.0
1569511410.05,0,0,0.0,0.0,0.0
1569511410.09,0,0,0.0,0.0,0.0
1569511410.13,0,0,0.0,0.0,0.0
1569511410.17,0,0,0.0,0.0,0.0
1569511410.21,0,0,0.0,0.0,0.0
1569511410.25,0,0,0.0,0.0,0.0
1569511410.29,0,0,0.0,0.0,0.0
1569511410.33,0,0,0.0,0.0,0.0
1569511410.37,0,0,0.0,0.0,0.0
1569511410.41,0,0,0.0,0.0,0.0
1569511410.45,0,0,0.0,0.0,0.0
1569511410.49,0,0,0.0,0.0,0.0
1569511410.53,0,0,0.0,0.0,0.0
1569511410.57,0,0,0.0,0.0,0.0
1569511410.61,0,0,0.0,0.0,0.0
1569511410.65,0,0,0.0,0.0,0.0
1569511410.69,0,0,0.0,0.0,0.0
1569511410.73,0,0,0.0,0.0,0.0
1569511410.77,0,0,0.0,0.0,0.0
1569511410.81,0,0,0.0,0.0,0.0
1569511410.85,0,0,0.0,0.0,0.0
1569511410.89,0,0,0.0,0.0,0.0
1569511410.93,0,0,0.0,0.0,0.0
1569511410.97,0,0,0.0,0.0,0.0
1569511411.01,0,0,0.0,0.0,0.0
1569511411.05,0,0,0.0,0.0,0.0
1569511411.09,0,0,0.0,0.0,0.0
1569511411.13,0,0,0.0,0.0,0.0
1569511411.17,0,0,0.0,0.0,0.0
1569511411.21,0,0,0.0,0.0,0.0
1569511411.25,0,0,0.0,0.0,0.0
1569511411.29,0,0,0.0,0.0,0.0
1569511411.33,0,0,0.0,0.0,0.0
1569511411.37,0,0,0.0,0.0,0.0
1569511411.41,0,0,0.0,0.0,0.0
1569511411.45,0,0,0.0,0.0,0.0
1569511411.49,0,0,0.0,0.0,0.0
1569511411.53,0,0,0.0,0.0,0.0
1569511411.57,0,0,0.0,0.0,0.0
1569511411.61,0,0,0.0,0.0,0.0
1569511411.65,0,0,0.0,0.0,0.0
1569511411.69,0,0,0.0,0.0,0.0
1569511411.73,0,0,0.0,0.0,0.0
1569511411.77,0,0,0.0,0.0,0.0
1569511411.81,0,0,0.0,0.0,0.0
1569511411.85,0,0,0.0,0.0,0.0
1569511411.89,0,0,0.0,0.0,0.0
1569511411.93,0,0,0.0,0.0,0.0
1569511411.97,0,0,0.0,0.0,0.0
1569511412.01,0,0,0.0,0.0,0.0
1569511412.05,0,0,0.0,0.0,0.0
1569511412.09,0,0,0.0,0.0,0.0
1569511412.13,0,0,0.0,0.0,0.0
1569511412.17,0,0,0.0,0.0,0.0
1569511412.21,0,0,0.0,0.0,0.0
1569511412.25,0,0,0.0,0.0,0.0
1569511412.29,0,0,0.0,0.0,0.0
1569511412.33,0,0,0.0,0.0,0.0
1569511412.37,0,0,0.0,0.0,0.0
1569511412.41,0,0,0.0,0.0,0.0
1569511412.45,0,0,0.0,0.0,0.0
1569511412.49,0,0,0.0,0.0,0.0
1569511412.53,0,0,0.0,0.0,0.0
1569511412.57,0,0,0.0,0.0,0.0
1569511412.61,0,0,0.0,0.0,0.0
1569511412.65,0,0,0.0,0.0,0.0
1569511412.69,0,0,0.0,0.0,0.0
1569511412.73,0,0,0.0,0.0,0.0
1569511412.77,0,0,0.0,0.0,0.0
1569511412.81,0,0,0.0,0.0,0.0
1569511412.85,0,0,0.0,0.0,0.0
1569511412.89,0,0,0.0,0.0,0.0
1569511412.93,0,0,0.0,0.0,0.0
1569511412.97,0,0,0.0,0.0,0.0
1569511413.01,0,0,0.0,0.0,0.0
1569511413.05,0,0,0.0,0.0,0.0
1569511413.09,0,0,0.0,0.0,0.0
1569511413.13,0,0,0.0,0.0,0.0
1569511413.17,0,0,0.0,0.0,0.0
1569511413.21,0,0,0.0,0.0,0.0
1569511413.25,0,0,0.0,0.0,0.0
1569511413.29,0,0,0.0,0.0,0.0
1569511413.33,0,0,0.0,0.0,0.0
1569511413.37,0,0,0.0,0.0,0.0
1569511413.41,0,0,0.0,0.0,0.0
1569511413.45,0,0,0.0,0.0,0.0
1569511413.49,0,0,0.0,0.0,0.0
1569511413.53,0,0,0.0,0.0,0.0
1569511413.57,0,0,0.0,0.0,0.0
1569511413.61,0,0,0.0,0.0,0.0
1569511413.65,0,0,0.0,0.0,0.0
1569511413.69,0,0,0.0,0.0,0.0
1569511413.73,0,0,0.0,0.0,0.0
1569511413.77,0,0,0.0,0.0,0.0
1569511413.81,0,0,0.0,0.0,0.0
1569511413.85,0,0,0.0,0.0,0.0
1569511413.89,0,0,0.0,0.0,0.0
1569511413.93,0,0,0.0,0.0,0.0
1569511413.97,0,0,0.0,0.0,0.0
1569511414.01,0,0,0.0,0.0,0.0
1569511414.05,0,0,0.0,0.0,0.0
1569511414.09,0,0,0.0,0.0,0.0
1569511414.13,0,0,0.0,0.0,0.0
1569511414.17,0,0,0.0,0.0,0.0
1569511414.21,0,0,0.0,0.0,0.0
1569511414.25,0,0,0.0,0.0,0.0
1569511414.29,0,0,0.0,0.0,0.0
1569511414.33,0,0,0.0,0.0,0.0
1569511414.37,0,0,0.0,0.0,0.0
1569511414.41,0,0,0.0,0.0,0.0
1569511414.45,0,0,0.0,0.0,0.0
1569511414.49,0,0,0.0,0.0,0.0
1569511414.53,0,0,0.0,0.0,0.0
1569511414.57,0,0,0.0,0.0,0.0
1569511414.61,0,0,0.0,0.0,0.0
1569511414.65,0,0,0.0,0.0,0.0
1569511414.69,0,0,0.0,0.0,0.0
1569511414.73,0,0,0.0,0.0,0.0
1569511414.77,0,0,0.0,0.0,0.0
1569511414.81,0,0,0.0,0.0,0.0
1569511414.85,0,0,0.0,0.0,0.0
1569511414.89,0,0,0.0,0.0,0.0
1569511414.93,0,0,0.0,0.0,0.0
1569511414.97,0,0,0.0,0.0,0.0
1569511415.01,0,0,0.0,0.0,0.0
1569511415.05,0,0,0.0,0.0,0.0
1569511415.09,0,0,0.0,0.0,0.0
1569511415.13,0,0,0.0,0.0,0.0
1569511415.17,0,0,0.0,0.0,0.0
1569511415.21,0,0,0.0,0.0,0.0
1569511415.25,0,0,0.0,0.0,0.0
1569511415.29,0,0,0.0,0.0,0.0
1569511415.33,0,0,0.0,0.0,0.0
1569511415.37,0,0,0.0,0.0,0.0
1569511415.41,0,0,0.0,0.0,0.0
1569511415.45,0,0,0.0,0.0,0.0
1569511415.49,0,0,0.0,0.0,0.0
1569511415.53,0,0,0.0,0.0,0.0
1569511415.57,0,0,0.0,0.0,0.0
1569511415.61,0,0,0.0,0.0,0.0
1569511415.65,0,0,0.0,0.0,0.0
1569511415.69,0,0,0.0,0.0,0.0
1569511415.73,0,0,0.0,0.0,0.0
1569511415.77,0,0,0.0,0.0,0.0
1569511415.81,0,0,0.0,0.0,0.0
1569511415.85,0,0,0.0,0.0,0.0
1569511415.89,0,0,0.0,0.0,0.0
1569511415.93,0,0,0.0,0.0,0.0
1569511415.97,0,0,0.0,0.0,0.0
1569511416.01,0,0,0.0,0.0,0.0
1569511416.05,0,0,0.0,0.0,0.0
1569511416.09,0,0,0.0,0.0,0.0
1569511416.13,0,0,0.0,0.0,0.0
1569511416.17,0,0,0.0,0.0,0.0
1569511416.21,0,0,0.0,0.0,0.0
1569511416.25,0,0,0.0,0.0,0.0
1569511416.29,0,0,0.0,0.0,0.0
1569511416.33,0,0,0.0,0.0,0.0
1569511416.37,0,0,0.0,0.0,0.0
1569511416.41,0,0,0.0,0.0,0.0
1569511416.45,0,0,0.0,0.0,0.0
1569511416.49,0,0,0.0,0.0,0.0
1569511416.53,0,0,0.0,0.0,0.0
1569511416.57,0,0,0.0,0.0,0.0
1569511416.61,0,0,0.0,0.0,0.0
1569511416.65,0,0,0.0,0.0,0.0
1569511416.69,0,0,0.0,0.0,0.0
1569511416.73,0,0,0.0,0.0,0.0
1569511416.77,0,0,0.0,0.0,0.0
1569511416.81,0,0,0.0,0.0,0.0
1569511416.85,0,0,0.0,0.0,0.0
1569511416.89,0,0,0.0,0.0,0.0
1569511416.93,0,0,0.0,0.0,0.0
1569511416.97,0,0,0.0,0.0,0.0
1569511417.01,0,0,0.0,0.0,0.0
1569511417.05,0,0,0.0,0.0,0.0
1569511417.09,0,0,0.0,0.0,0.0
1569511417.13,0,0,0.0,0.0,0.0
1569511417.17,0,0,0.0,0.0,0.0
1569511417.21,0,0,0.0,0.0,0.0
1569511417.25,0,0,0.0,0.0,0.0
1569511417.29,0,0,0.0,0.0,0.0
1569511417.33,0,0,0.0,0.0,0.0
1569511417.37,0,0,0.0,0.0,0.0
1569511417.41,0,0,0.0,0.0,0.0
1569511417.45,0,0,0.0,0.0,0.0
1569511417.49,0,0,0.0,0.0,0.0
1569511417.53,0,0,0.0,0.0,0.0
1569511417.57,0,0,0.0,0.0,0.0
1569511417.61,0,0,0.0,0.0,0.0
1569511417.65,0,0,0.0,0.0,0.0
1569511417.69,0.271999955177,-0.0133333206177,0.0,0.0,0.0
1569511417.73,0.34399998188,-0.0133333206177,0.0,-0.0,0.0
1569511417.77,0.351999998093,0.0,0.0,0.0,0.0
1569511417.81,0.351999998093,0.0,0.0,0.0,0.0
1569511417.85,0.360000014305,0.0,0.0,-0.0,0.0
1569511417.89,0.432000041008,0.0,0.0,-0.0,0.0
1569511417.93,0.552000045776,0.0,0.0,-0.0,0.0
1569511417.97,0.616000056267,-0.0133333206177,0.0,-0.0,0.0
1569511418.01,0.592000007629,0.0,0.0,0.0,0.0
1569511418.05,0.519999980927,0.0,0.0,-0.0,0.0
1569511418.09,0.432000041008,0.0,0.0,-0.0,0.0
1569511418.13,0.00800001621246,-0.0133333206177,0.0,-0.0,0.0
1569511418.17,-0.0320000052452,-0.0266666412354,0.0,0.0,0.0
1569511418.21,-0.0400000214577,-0.0133333206177,0.0,-0.0,0.0
1569511418.25,-0.0320000052452,-0.0133333206177,0.0,0.0,0.0
1569511418.29,-0.0400000214577,-0.0133333206177,0.0,0.0,0.0
