throttle,steering,rpm
0,0,0
0.827979683876,0.100921161473,6578.21486144
0.827979683876,0.100921161473,6578.21486144
0.827979683876,0.100921161473,4000.26630695
0.834073424339,0.104467019439,5768.86055637
0.843376457691,0.113793946803,7374.08462597
0.842023313046,0.102927051485,5637.26092605
0.834414243698,0.0693556144834,7923.56510777
0.854567408562,0.0928251743317,7079.72044456
0.859106838703,0.0873763412237,5941.56356621
0.870481967926,0.0980566963553,7736.29864735
0.859586954117,0.0676917135715,8568.74113188
0.868969380856,0.0792373865843,6381.16834948
0.872136414051,0.0821581482887,6565.79114716
0.873025000095,0.0809858441353,8235.74401006
0.876402139664,0.0810663327575,6529.03771549
0.876402139664,0.0810663327575,8088.47217587
1.0,0.271172523499,7901.33425085
1.0,0.28794336319,7780.90484714
1.0,0.239913925529,7170.32082446
1.0,0.262725830078,9320.4471616
1.0,0.256612658501,7653.26868773
1.0,0.266145020723,9173.12045757
1.0,0.271116763353,7182.3409742
1.0,0.255292475224,9210.48613163
1.0,0.222945198417,7630.49765211
1.0,0.2127173841,8539.54371065
1.0,0.259134590626,6382.28641703
1.0,0.251101493835,7501.7920569
1.0,0.292177468538,8436.14022049
1.0,0.292177468538,9913.72233171
1.0,0.275139778852,8307.9877448
1.0,0.25307238102,10041.2227477
1.0,0.266382873058,8316.70224437
1.0,0.343661993742,8497.06869431
1.0,0.36048874259,8507.44690028
1.0,0.380081146955,8735.73633582
1.0,0.381418466568,8536.25210132
1.0,0.396999150515,8733.28338281
1.0,0.358556747437,10305.8732306
1.0,0.36417594552,9125.81127548
1.0,0.379917860031,10946.7141572
1.0,0.353954523802,9511.07371042
1.0,0.349498927593,11429.4760479
1.0,0.340698331594,9504.70462652
1.0,0.340698331594,9498.43996568
1.0,0.348399251699,11421.7856759
1.0,0.325442761183,9782.15726872
1.0,0.297940820456,10311.8373138
1.0,0.298649907112,10050.8115162
1.0,0.293687850237,10311.2778204
1.0,0.292076736689,10211.4927558
1.0,0.283681869507,10390.509551
1.0,0.258299976587,12256.3278793
1.0,0.256137162447,10603.5301136
1.0,0.25145149231,10790.9943516
1.0,0.244525492191,10848.8207509
1.0,0.234846651554,12110.9511536
1.0,0.234846651554,12506.8365345
1.0,0.220497846603,13088.017163
1.0,0.206706643105,13219.1465457
1.0,0.206706643105,13881.4016227
1.0,0.20652666688,11509.2743936
1.0,0.206670373678,12407.3274512
1.0,0.198019266129,12908.7850658
1.0,0.188222810626,11730.3140919
1.0,0.179941117764,13761.0034704
1.0,0.168079987168,11903.2357221
1.0,0.150379762053,14062.3095793
1.0,0.14921361208,12285.28898
1.0,0.145954936743,12951.2452062
1.0,0.14648796618,13188.552911
1.0,0.144669741392,13617.8122112
1.0,0.134766355157,14730.7316016
1.0,0.134766355157,15129.1886926
1.0,0.123644083738,14784.6358396
1.0,0.120522230864,15132.6645784
1.0,0.116053365171,13829.9173521
1.0,0.116244338453,13969.767962
1.0,0.112458847463,13111.2756726
1.0,0.104515276849,13918.9562299
1.0,0.095569819212,13457.7168017
1.0,0.0805004835129,15560.8022146
1.0,0.0800357833505,13545.6320167
1.0,0.0918513983488,13639.3104326
1.0,0.0816722810268,15950.7807783
1.0,0.0821838378906,13742.6871391
1.0,0.0798537582159,15477.9906179
1.0,0.0798537582159,15272.7576672
1.0,0.0692743957043,13785.4107018
1.0,0.0787972509861,13640.8810178
1.0,0.0841135233641,14986.0232057
1.0,0.0675084665418,13860.5921956
1.0,0.0687147453427,13687.0405329
1.0,0.0774362236261,13874.2062696
1.0,0.0550589226186,13686.5899286
1.0,0.052179466933,13814.223447
1.0,0.0739903822541,13880.3250028
1.0,0.0927196294069,14101.3908212
1.0,0.074334576726,13876.7901423
1.0,0.0833139643073,13671.9333614
1.0,0.0833139643073,13831.9692423
1.0,0.0871290564537,13822.0442731
1.0,0.0999995991588,13655.3480681
1.0,0.109866827726,13574.3599227
1.0,0.108659952879,13658.2197721
0.850246965885,-0.0209001097828,13703.9935135
0.844728469849,-0.019680518657,13537.131393
0.834695458412,-0.0225579701364,13576.1768735
0.813451051712,0.0170608144253,13302.2708439
